Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/18:35:28;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:29;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:30;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:31;3;88.45;81.91;-1.57;0;0.43;0.04;516
2023-10-03/18:35:32;3;88.47;80.19;-1.56;17;2.96;1.76;516
2023-10-03/18:35:33;3;88.51;76.02;-1.56;59;5.00;5.93;516
2023-10-03/18:35:34;3;88.56;71.07;-1.56;108;5.00;10.88;516
2023-10-03/18:35:35;3;88.61;66.09;-1.56;158;5.00;15.86;516
2023-10-03/18:35:36;3;88.67;60.97;-1.56;209;5.00;20.98;516
2023-10-03/18:35:37;3;88.72;56.02;-1.56;259;5.00;25.93;516
2023-10-03/18:35:38;3;88.77;51.00;-1.56;309;5.00;30.95;516
2023-10-03/18:35:39;3;88.82;46.22;-1.56;356;5.00;35.73;516
2023-10-03/18:35:40;3;89.40;41.35;-0.29;409;5.00;40.99;516
2023-10-03/18:35:41;3;92.97;39.15;-1.62;457;5.00;45.88;516
2023-10-03/18:35:42;3;92.75;35.03;-1.62;498;3.08;50.01;516
2023-10-03/18:35:43;3;92.65;33.20;-1.60;516;0.57;51.83;516
2023-10-03/18:35:44;3;92.65;33.23;-1.61;518;0.61;51.97;-1
2023-10-03/18:35:45;3;92.75;35.10;-1.62;537;3.11;53.84;-1
2023-10-03/18:35:46;3;92.98;39.40;-1.62;579;5.02;58.15;-1
2023-10-03/18:35:47;3;89.00;41.47;-0.29;629;5.02;63.20;-1
2023-10-03/18:35:48;3;88.81;46.51;-1.56;680;5.02;68.33;-1
2023-10-03/18:35:49;3;88.76;51.61;-1.56;731;5.02;73.44;-1
2023-10-03/18:35:50;3;88.71;56.57;-1.56;781;5.02;78.40;-1
2023-10-03/18:35:51;3;88.66;61.59;-1.56;831;5.02;83.42;-1
2023-10-03/18:35:52;3;88.61;66.66;-1.56;882;5.02;88.48;-1
2023-10-03/18:35:53;3;88.56;71.70;-1.56;932;5.02;93.52;-1
2023-10-03/18:35:54;3;88.50;76.71;-1.56;982;5.02;98.53;-1
2023-10-03/18:35:55;3;88.46;80.61;-1.56;1021;2.69;102.44;-1
2023-10-03/18:35:56;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:57;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:58;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:59;3;88.45;81.92;-1.57;0;0.42;0.03;516
2023-10-03/18:36:00;3;88.47;80.28;-1.56;16;2.89;1.67;516
2023-10-03/18:36:01;3;88.51;76.17;-1.56;57;5.01;5.78;516
2023-10-03/18:36:02;3;88.56;71.12;-1.56;108;5.01;10.83;516
2023-10-03/18:36:03;3;88.61;66.08;-1.56;158;5.01;15.87;516
2023-10-03/18:36:04;3;88.66;61.09;-1.56;208;5.01;20.87;516
2023-10-03/18:36:05;3;88.72;56.02;-1.56;259;5.01;25.93;516
2023-10-03/18:36:06;3;88.77;50.98;-1.56;309;5.01;30.97;516
2023-10-03/18:36:07;3;88.82;46.04;-1.56;358;5.01;35.91;516
2023-10-03/18:36:08;3;89.19;41.41;-0.29;407;5.01;40.78;516
2023-10-03/18:36:09;3;92.97;39.26;-1.62;456;5.01;45.77;516
2023-10-03/18:36:10;3;92.74;34.92;-1.62;499;3.04;50.11;516
2023-10-03/18:36:11;3;92.65;33.17;-1.58;518;0.54;51.91;516
2023-10-03/18:36:12;3;92.65;33.23;-1.61;518;-0.04;51.97;516
2023-10-03/18:36:13;3;92.71;34.27;-1.62;529;2.28;53.01;-1
2023-10-03/18:36:14;3;92.89;37.77;-1.62;563;4.77;56.51;-1
2023-10-03/18:36:15;3;90.60;40.99;-0.29;613;5.03;61.53;-1
2023-10-03/18:36:16;3;88.83;44.70;-1.56;662;5.03;66.52;-1
2023-10-03/18:36:17;3;88.78;49.70;-1.56;712;5.03;71.52;-1
2023-10-03/18:36:18;3;88.73;54.77;-1.56;763;5.03;76.59;-1
2023-10-03/18:36:19;3;88.68;59.79;-1.56;813;5.03;81.61;-1
2023-10-03/18:36:20;3;88.63;64.81;-1.56;863;5.03;86.63;-1
2023-10-03/18:36:21;3;88.57;69.83;-1.56;913;5.03;91.65;-1
2023-10-03/18:36:22;3;88.52;74.84;-1.56;964;5.03;96.67;-1
2023-10-03/18:36:23;3;88.47;79.54;-1.56;1010;3.58;101.37;-1
2023-10-03/18:36:24;3;88.45;81.86;-1.56;1034;1.11;103.69;-1
2023-10-03/18:36:25;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:26;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:27;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:28;3;88.45;81.86;-1.56;0;0.69;0.09;516
2023-10-03/18:36:29;3;88.47;79.87;-1.56;20;3.22;2.08;516
2023-10-03/18:36:30;3;88.52;75.55;-1.56;63;5.01;6.40;516
2023-10-03/18:36:31;3;88.57;70.62;-1.56;113;5.01;11.33;516
2023-10-03/18:36:32;3;88.62;65.63;-1.56;163;5.01;16.32;516
2023-10-03/18:36:33;3;88.67;60.51;-1.56;214;5.01;21.44;516
2023-10-03/18:36:34;3;88.72;55.51;-1.56;264;5.01;26.44;516
2023-10-03/18:36:35;3;88.77;50.58;-1.56;313;5.01;31.37;516
2023-10-03/18:36:36;3;88.82;45.46;-1.56;364;5.01;36.49;516
2023-10-03/18:36:37;3;89.88;41.20;-0.29;414;5.01;41.50;516
2023-10-03/18:36:38;3;92.94;38.62;-1.62;463;5.01;46.41;516
2023-10-03/18:36:39;3;92.73;34.66;-1.62;502;2.73;50.38;516
2023-10-03/18:36:40;3;92.65;33.18;-1.59;516;0.20;51.86;516
2023-10-03/18:36:41;3;92.65;33.17;-1.58;516;-0.03;51.87;516
2023-10-03/18:36:42;3;92.70;34.07;-1.62;527;2.17;52.81;-1
2023-10-03/18:36:43;3;92.88;37.43;-1.62;560;4.64;56.18;-1
2023-10-03/18:36:44;3;90.86;40.91;-0.29;610;5.01;61.25;-1
2023-10-03/18:36:45;3;88.84;44.44;-1.56;660;5.01;66.26;-1
2023-10-03/18:36:46;3;88.78;49.38;-1.56;709;5.01;71.20;-1
2023-10-03/18:36:47;3;88.73;54.41;-1.56;759;5.01;76.24;-1
2023-10-03/18:36:48;3;88.68;59.40;-1.56;809;5.01;81.22;-1
2023-10-03/18:36:49;3;88.63;64.36;-1.56;859;5.01;86.19;-1
2023-10-03/18:36:50;3;88.58;69.47;-1.56;910;5.01;91.30;-1
2023-10-03/18:36:51;3;88.53;74.48;-1.56;960;5.01;96.30;-1
2023-10-03/18:36:52;3;88.48;79.14;-1.56;1006;3.87;100.97;-1
2023-10-03/18:36:53;3;88.45;81.78;-1.56;1033;1.34;103.61;-1
2023-10-03/18:36:54;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:55;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:56;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:57;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:58;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:59;3;88.46;81.03;-1.56;9;2.14;0.92;516
2023-10-03/18:37:00;3;88.49;77.58;-1.56;43;4.68;4.37;516
2023-10-03/18:37:01;3;88.55;72.69;-1.56;92;5.01;9.26;516
2023-10-03/18:37:02;3;88.60;67.70;-1.56;142;5.01;14.25;516
2023-10-03/18:37:03;3;88.65;62.60;-1.56;193;5.01;19.35;516
2023-10-03/18:37:04;3;88.70;57.66;-1.56;242;5.01;24.29;516
2023-10-03/18:37:05;3;88.75;52.68;-1.56;292;5.01;29.27;516
2023-10-03/18:37:06;3;88.80;47.53;-1.56;343;5.01;34.42;516
2023-10-03/18:37:07;3;88.85;42.55;-1.56;393;5.01;39.40;516
2023-10-03/18:37:08;3;92.62;40.37;-0.29;442;5.01;44.36;516
2023-10-03/18:37:09;3;92.80;36.00;-1.62;488;3.80;49.04;516
2023-10-03/18:37:10;3;92.66;33.42;-1.62;514;1.24;51.61;516
2023-10-03/18:37:11;3;92.65;33.18;-1.59;518;-0.03;51.92;516
2023-10-03/18:37:12;3;92.65;33.18;-1.59;518;-0.03;51.92;516
2023-10-03/18:37:13;3;92.71;34.23;-1.62;528;2.29;52.97;-1
2023-10-03/18:37:14;3;92.89;37.77;-1.62;563;4.79;56.51;-1
2023-10-03/18:37:15;3;90.69;40.96;-0.29;612;5.00;61.43;-1
2023-10-03/18:37:16;3;88.83;44.56;-1.56;661;5.00;66.39;-1
2023-10-03/18:37:17;3;88.78;49.70;-1.56;712;5.00;71.52;-1
2023-10-03/18:37:18;3;88.73;54.68;-1.56;762;5.00;76.51;-1
2023-10-03/18:37:19;3;88.68;59.61;-1.56;811;5.00;81.44;-1
2023-10-03/18:37:20;3;88.63;64.69;-1.56;862;5.00;86.52;-1
2023-10-03/18:37:21;3;88.58;69.63;-1.56;911;5.00;91.46;-1
2023-10-03/18:37:22;3;88.52;74.73;-1.56;962;5.00;96.55;-1
2023-10-03/18:37:23;3;88.48;79.36;-1.56;1009;3.66;101.19;-1
2023-10-03/18:37:24;3;88.45;81.76;-1.56;1033;1.17;103.58;-1
2023-10-03/18:37:25;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:26;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:27;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:28;3;88.46;81.25;-1.56;6;1.87;0.70;516
2023-10-03/18:37:29;3;88.49;78.12;-1.56;38;4.38;3.83;516
2023-10-03/18:37:30;3;88.54;73.33;-1.56;86;5.03;8.62;516
2023-10-03/18:37:31;3;88.59;68.18;-1.56;137;5.03;13.77;516
2023-10-03/18:37:32;3;88.64;63.13;-1.56;188;5.03;18.83;516
2023-10-03/18:37:33;3;88.69;58.11;-1.56;238;5.03;23.84;516
2023-10-03/18:37:34;3;88.75;53.09;-1.56;288;5.03;28.86;516
2023-10-03/18:37:35;3;88.80;48.04;-1.56;338;5.03;33.91;516
2023-10-03/18:37:36;3;88.85;43.04;-1.56;388;5.03;38.92;516
2023-10-03/18:37:37;3;92.18;40.51;-0.29;438;5.03;43.90;516
2023-10-03/18:37:38;3;92.81;36.22;-1.62;486;3.99;48.81;516
2023-10-03/18:37:39;3;92.67;33.50;-1.62;513;1.52;51.54;516
2023-10-03/18:37:40;3;92.66;33.26;-1.62;519;-0.01;52.00;516
2023-10-03/18:37:41;3;92.71;34.36;-1.62;529;2.34;53.09;-1
2023-10-03/18:37:42;3;92.90;37.95;-1.62;565;4.84;56.69;-1
2023-10-03/18:37:43;3;90.41;41.04;-0.29;615;5.03;61.72;-1
2023-10-03/18:37:44;3;88.83;44.95;-1.56;665;5.03;66.77;-1
2023-10-03/18:37:45;3;88.78;49.94;-1.56;715;5.03;71.77;-1
2023-10-03/18:37:46;3;88.73;54.97;-1.56;765;5.03;76.80;-1
2023-10-03/18:37:47;3;88.68;59.90;-1.56;814;5.03;81.73;-1
2023-10-03/18:37:48;3;88.62;64.93;-1.56;864;5.03;86.75;-1
2023-10-03/18:37:49;3;88.57;69.98;-1.56;915;5.03;91.80;-1
2023-10-03/18:37:50;3;88.52;75.16;-1.56;967;5.03;96.98;-1
2023-10-03/18:37:51;3;88.47;79.65;-1.56;1012;3.43;101.48;-1
2023-10-03/18:37:52;3;88.45;81.83;-1.56;1033;0.96;103.65;-1
2023-10-03/18:37:53;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:54;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:55;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:56;3;88.46;81.19;-1.56;7;1.95;0.76;516
2023-10-03/18:37:57;3;88.49;78.02;-1.56;39;4.43;3.93;516
2023-10-03/18:37:58;3;88.54;73.11;-1.56;88;5.01;8.84;516
2023-10-03/18:37:59;3;88.59;67.98;-1.56;139;5.01;13.97;516
2023-10-03/18:38:00;3;88.64;63.02;-1.56;189;5.01;18.93;516
2023-10-03/18:38:01;3;88.70;58.03;-1.56;238;5.01;23.92;516
2023-10-03/18:38:02;3;88.75;53.04;-1.56;288;5.01;28.91;516
2023-10-03/18:38:03;3;88.80;48.06;-1.56;338;5.01;33.90;516
2023-10-03/18:38:04;3;88.85;42.96;-1.56;389;5.01;38.99;516
2023-10-03/18:38:05;3;92.23;40.49;-0.29;438;5.01;43.95;516
2023-10-03/18:38:06;3;92.81;36.27;-1.62;486;3.95;48.77;516
2023-10-03/18:38:07;3;92.67;33.57;-1.62;512;1.44;51.47;516
2023-10-03/18:38:08;3;92.65;33.15;-1.57;516;-0.07;51.88;516
2023-10-03/18:38:09;3;92.67;33.60;-1.62;522;1.51;52.34;-1
2023-10-03/18:38:10;3;92.82;36.37;-1.62;549;4.02;55.11;-1
2023-10-03/18:38:11;3;92.19;40.50;-0.29;596;5.04;59.87;-1
2023-10-03/18:38:12;3;88.85;43.10;-1.56;646;5.04;64.92;-1
2023-10-03/18:38:13;3;88.80;48.24;-1.56;698;5.04;70.06;-1
2023-10-03/18:38:14;3;88.74;53.28;-1.56;748;5.04;75.11;-1
2023-10-03/18:38:15;3;88.69;58.23;-1.56;798;5.04;80.05;-1
2023-10-03/18:38:16;3;88.64;63.28;-1.56;848;5.04;85.11;-1
2023-10-03/18:38:17;3;88.59;68.28;-1.56;898;5.04;90.11;-1
2023-10-03/18:38:18;3;88.54;73.31;-1.56;948;5.04;95.13;-1
2023-10-03/18:38:19;3;88.49;78.35;-1.56;999;4.36;100.18;-1
2023-10-03/18:38:20;3;88.46;81.42;-1.56;1029;1.90;103.25;-1
2023-10-03/18:38:21;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/18:38:22;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
