Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/18:35:28;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:29;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:30;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:31;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:32;2;67.55;55.42;-0.63;0;0.38;0.03;294
2023-10-03/18:35:33;2;67.39;53.86;1.57;15;2.83;1.60;294
2023-10-03/18:35:34;2;67.39;49.69;1.57;57;5.04;5.77;294
2023-10-03/18:35:35;2;67.39;44.67;1.57;107;5.04;10.79;294
2023-10-03/18:35:36;2;67.41;39.73;1.86;157;5.04;15.73;294
2023-10-03/18:35:37;2;69.25;35.02;1.95;208;5.04;20.79;294
2023-10-03/18:35:38;2;73.81;33.84;-0.83;257;4.39;25.72;294
2023-10-03/18:35:39;2;75.93;31.51;-0.83;288;1.87;28.87;294
2023-10-03/18:35:40;2;76.24;31.17;-0.83;296;0.66;29.66;-1
2023-10-03/18:35:41;2;74.97;32.57;-0.83;314;3.15;31.55;-1
2023-10-03/18:35:42;2;71.52;34.75;-0.11;357;5.03;35.89;-1
2023-10-03/18:35:43;2;68.24;37.58;1.95;408;5.03;40.94;-1
2023-10-03/18:35:44;2;67.39;42.49;1.57;459;5.03;46.01;-1
2023-10-03/18:35:45;2;67.39;47.51;1.57;509;5.03;51.03;-1
2023-10-03/18:35:46;2;67.39;52.36;1.57;558;3.99;55.88;-1
2023-10-03/18:35:47;2;67.49;55.10;1.41;585;1.47;58.63;-1
2023-10-03/18:35:48;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:49;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:50;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:51;2;67.48;54.99;1.41;4;1.53;0.47;294
2023-10-03/18:35:52;2;67.39;52.21;1.57;32;4.04;3.26;294
2023-10-03/18:35:53;2;67.39;47.37;1.57;80;5.01;8.10;294
2023-10-03/18:35:54;2;67.39;42.37;1.57;131;5.01;13.09;294
2023-10-03/18:35:55;2;68.26;37.54;1.95;181;5.01;18.08;294
2023-10-03/18:35:56;2;71.49;34.75;-0.11;231;5.01;23.07;294
2023-10-03/18:35:57;2;75.02;32.51;-0.83;274;3.24;27.52;294
2023-10-03/18:35:58;2;76.34;31.06;-1.14;295;0.78;29.50;294
2023-10-03/18:35:59;2;76.26;31.15;-0.83;296;-0.05;29.62;294
2023-10-03/18:36:00;2;76.20;31.21;-0.83;297;0.66;29.71;-1
2023-10-03/18:36:01;2;74.93;32.61;-0.83;315;3.15;31.60;-1
2023-10-03/18:36:02;2;71.32;34.77;-0.11;359;5.04;36.08;-1
2023-10-03/18:36:03;2;68.22;37.64;1.95;408;5.04;41.01;-1
2023-10-03/18:36:04;2;67.39;42.52;1.57;459;5.04;46.04;-1
2023-10-03/18:36:05;2;67.39;47.60;1.57;510;5.04;51.12;-1
2023-10-03/18:36:06;2;67.39;52.44;1.57;558;4.00;55.96;-1
2023-10-03/18:36:07;2;67.51;55.20;1.41;586;1.47;58.73;-1
2023-10-03/18:36:08;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:09;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:10;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:11;2;67.45;54.84;1.41;6;1.75;0.61;294
2023-10-03/18:36:12;2;67.39;51.75;1.57;37;4.31;3.72;294
2023-10-03/18:36:13;2;67.39;46.81;1.57;86;5.01;8.65;294
2023-10-03/18:36:14;2;67.39;41.83;1.57;136;5.01;13.63;294
2023-10-03/18:36:15;2;68.46;37.03;1.95;186;5.01;18.63;294
2023-10-03/18:36:16;2;72.00;34.69;-0.11;236;5.01;23.58;294
2023-10-03/18:36:17;2;75.19;32.32;-0.83;277;2.99;27.77;294
2023-10-03/18:36:18;2;76.34;31.06;-1.11;295;0.47;29.51;294
2023-10-03/18:36:19;2;75.92;31.52;-0.83;301;1.69;30.12;329
2023-10-03/18:36:20;2;74.35;33.24;-0.83;323;1.74;32.46;329
2023-10-03/18:36:21;2;73.43;34.26;-0.83;336;2.21;33.83;-1
2023-10-03/18:36:22;2;70.13;34.90;-0.11;371;4.71;37.28;-1
2023-10-03/18:36:23;2;67.74;38.85;1.95;421;5.03;42.31;-1
2023-10-03/18:36:24;2;67.39;43.83;1.57;472;5.03;47.35;-1
2023-10-03/18:36:25;2;67.39;48.89;1.57;523;5.03;52.41;-1
2023-10-03/18:36:26;2;67.39;53.33;1.57;567;3.29;56.85;-1
2023-10-03/18:36:27;2;67.54;55.37;1.15;588;0.79;58.90;-1
2023-10-03/18:36:28;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:29;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:30;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:31;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:32;2;67.45;54.86;1.41;5;1.74;0.60;294
2023-10-03/18:36:33;2;67.39;51.88;1.57;35;4.24;3.59;294
2023-10-03/18:36:34;2;67.39;47.10;1.57;83;5.04;8.36;294
2023-10-03/18:36:35;2;67.39;42.06;1.57;134;5.04;13.41;294
2023-10-03/18:36:36;2;68.40;37.17;1.95;185;5.04;18.48;294
2023-10-03/18:36:37;2;71.98;34.70;-0.11;236;5.04;23.56;294
2023-10-03/18:36:38;2;75.22;32.29;-0.83;277;3.07;27.82;294
2023-10-03/18:36:39;2;76.26;31.15;-0.83;296;0.59;29.63;294
2023-10-03/18:36:40;2;76.21;31.20;-0.83;296;-0.01;29.70;294
2023-10-03/18:36:41;2;76.21;31.20;-0.83;296;-0.01;29.70;294
2023-10-03/18:36:42;2;75.44;32.05;-0.83;308;2.39;30.84;-1
2023-10-03/18:36:43;2;72.91;34.59;-0.11;343;4.90;34.49;-1
2023-10-03/18:36:44;2;68.73;36.33;1.95;394;5.01;39.60;-1
2023-10-03/18:36:45;2;67.39;41.06;1.57;444;5.01;44.58;-1
2023-10-03/18:36:46;2;67.39;46.07;1.57;495;5.01;49.59;-1
2023-10-03/18:36:47;2;67.39;51.05;1.57;545;4.75;54.57;-1
2023-10-03/18:36:48;2;67.40;54.54;1.41;579;2.26;58.07;-1
2023-10-03/18:36:49;2;67.55;55.45;-1.57;589;0.00;58.98;-1
2023-10-03/18:36:50;2;67.55;55.45;-1.57;589;0.00;58.98;-1
2023-10-03/18:36:51;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:52;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:53;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:54;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:55;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:56;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:57;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:58;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:59;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:00;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:01;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:02;2;67.53;55.34;1.41;1;0.76;0.11;294
2023-10-03/18:37:03;2;67.39;53.32;1.57;21;3.27;2.14;294
2023-10-03/18:37:04;2;67.39;48.96;1.57;64;5.03;6.50;294
2023-10-03/18:37:05;2;67.39;43.95;1.57;115;5.03;11.51;294
2023-10-03/18:37:06;2;67.74;38.85;1.95;167;5.03;16.68;294
2023-10-03/18:37:07;2;70.11;34.90;-0.11;217;5.03;21.68;294
2023-10-03/18:37:08;2;74.30;33.30;-0.83;264;4.02;26.45;294
2023-10-03/18:37:09;2;76.16;31.26;-0.83;291;1.54;29.21;294
2023-10-03/18:37:10;2;76.23;31.19;-0.83;296;-0.01;29.68;294
2023-10-03/18:37:11;2;75.51;31.98;-0.83;307;2.31;30.75;-1
2023-10-03/18:37:12;2;73.14;34.57;-0.76;341;4.79;34.26;-1
2023-10-03/18:37:13;2;68.81;36.13;1.95;392;5.00;39.38;-1
2023-10-03/18:37:14;2;67.39;40.82;1.57;442;5.00;44.34;-1
2023-10-03/18:37:15;2;67.39;45.78;1.57;492;5.00;49.30;-1
2023-10-03/18:37:16;2;67.39;50.77;1.57;542;4.93;54.29;-1
2023-10-03/18:37:17;2;67.40;54.50;1.46;579;2.38;58.02;-1
2023-10-03/18:37:18;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:19;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:20;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:21;2;67.52;55.29;1.41;1;0.91;0.17;294
2023-10-03/18:37:22;2;67.39;53.12;1.57;23;3.42;2.34;294
2023-10-03/18:37:23;2;67.39;48.62;1.57;68;5.03;6.84;294
2023-10-03/18:37:24;2;67.39;43.61;1.57;118;5.03;11.86;294
2023-10-03/18:37:25;2;67.84;38.61;1.95;169;5.03;16.94;294
2023-10-03/18:37:26;2;70.43;34.86;-0.11;220;5.03;22.00;294
2023-10-03/18:37:27;2;74.50;33.08;-0.83;267;3.82;26.75;294
2023-10-03/18:37:28;2;76.24;31.17;-0.83;292;1.31;29.33;294
2023-10-03/18:37:29;2;75.23;32.28;-0.83;311;3.01;31.15;-1
2023-10-03/18:37:30;2;72.07;34.69;-0.11;351;5.00;35.34;-1
2023-10-03/18:37:31;2;68.47;37.01;1.95;401;5.00;40.33;-1
2023-10-03/18:37:32;2;67.39;41.82;1.57;452;5.00;45.34;-1
2023-10-03/18:37:33;2;67.39;46.81;1.57;502;5.00;50.33;-1
2023-10-03/18:37:34;2;67.39;51.72;1.57;551;4.37;55.24;-1
2023-10-03/18:37:35;2;67.45;54.83;1.41;582;1.88;58.36;-1
2023-10-03/18:37:36;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
