Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/18:35:28;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:29;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:30;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:31;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:32;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:33;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:34;1;25.05;58.33;-0.93;0;0.30;0.02;450
2023-10-03/18:35:35;1;25.02;56.73;1.56;16;2.85;1.62;450
2023-10-03/18:35:36;1;24.96;52.69;1.56;56;5.01;5.66;450
2023-10-03/18:35:37;1;24.93;47.71;1.57;106;5.01;10.64;450
2023-10-03/18:35:38;1;24.91;42.73;1.57;156;5.01;15.63;450
2023-10-03/18:35:39;1;24.89;37.67;1.57;206;5.01;20.69;450
2023-10-03/18:35:40;1;24.87;32.65;1.57;257;5.01;25.71;450
2023-10-03/18:35:41;1;24.85;27.66;1.57;307;5.01;30.69;450
2023-10-03/18:35:42;1;25.28;22.64;1.67;357;5.01;35.73;450
2023-10-03/18:35:43;1;28.00;19.37;-1.47;407;4.71;40.75;450
2023-10-03/18:35:44;1;28.36;15.93;-1.47;441;2.21;44.21;450
2023-10-03/18:35:45;1;28.44;15.14;-1.48;451;-0.07;45.19;450
2023-10-03/18:35:46;1;28.43;15.21;-1.47;452;0.59;45.25;-1
2023-10-03/18:35:47;1;28.24;17.06;-1.47;470;3.10;47.11;-1
2023-10-03/18:35:48;1;27.66;21.24;-1.32;512;5.01;51.34;-1
2023-10-03/18:35:49;1;25.10;24.48;1.67;561;5.01;56.30;-1
2023-10-03/18:35:50;1;24.86;29.54;1.57;612;5.01;61.37;-1
2023-10-03/18:35:51;1;24.88;34.56;1.57;663;5.01;66.39;-1
2023-10-03/18:35:52;1;24.90;39.62;1.57;713;5.01;71.45;-1
2023-10-03/18:35:53;1;24.92;44.65;1.57;764;5.01;76.48;-1
2023-10-03/18:35:54;1;24.93;49.53;1.57;812;5.01;81.36;-1
2023-10-03/18:35:55;1;24.99;54.59;1.56;863;4.36;86.43;-1
2023-10-03/18:35:56;1;25.04;57.67;1.56;894;1.91;89.51;-1
2023-10-03/18:35:57;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:58;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:35:59;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:00;1;25.05;58.32;-0.51;0;0.39;0.03;450
2023-10-03/18:36:01;1;25.02;56.69;1.56;16;2.88;1.66;450
2023-10-03/18:36:02;1;24.96;52.58;1.56;57;5.03;5.77;450
2023-10-03/18:36:03;1;24.93;47.51;1.57;108;5.03;10.84;450
2023-10-03/18:36:04;1;24.91;42.48;1.57;158;5.03;15.87;450
2023-10-03/18:36:05;1;24.89;37.40;1.57;209;5.03;20.95;450
2023-10-03/18:36:06;1;24.87;32.37;1.57;259;5.03;25.98;450
2023-10-03/18:36:07;1;24.85;27.27;1.57;310;5.03;31.08;450
2023-10-03/18:36:08;1;25.31;22.27;1.67;361;5.03;36.11;450
2023-10-03/18:36:09;1;28.03;19.07;-1.47;410;4.54;41.05;450
2023-10-03/18:36:10;1;28.37;15.82;-1.47;442;2.07;44.32;450
2023-10-03/18:36:11;1;28.44;15.13;-1.49;451;-0.02;45.18;450
2023-10-03/18:36:12;1;28.44;15.13;-1.49;451;-0.02;45.18;450
2023-10-03/18:36:13;1;28.33;16.16;-1.47;461;2.27;46.21;-1
2023-10-03/18:36:14;1;27.96;19.77;-1.47;497;4.83;49.83;-1
2023-10-03/18:36:15;1;25.26;22.84;1.67;545;5.02;54.65;-1
2023-10-03/18:36:16;1;24.85;27.93;1.57;596;5.02;59.76;-1
2023-10-03/18:36:17;1;24.87;32.95;1.57;646;5.02;64.78;-1
2023-10-03/18:36:18;1;24.89;38.00;1.57;697;5.02;69.84;-1
2023-10-03/18:36:19;1;24.91;43.01;1.57;747;5.02;74.85;-1
2023-10-03/18:36:20;1;24.93;48.02;1.57;797;5.02;79.86;-1
2023-10-03/18:36:21;1;24.97;53.02;1.56;847;5.02;84.85;-1
2023-10-03/18:36:22;1;25.03;56.93;1.56;886;2.68;88.77;-1
2023-10-03/18:36:23;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:24;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:25;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:26;1;25.05;58.35;-1.57;0;0.00;0.00;345
2023-10-03/18:36:27;1;25.03;57.16;1.56;11;2.44;1.19;345
2023-10-03/18:36:28;1;24.97;53.38;1.56;49;4.99;4.97;345
2023-10-03/18:36:29;1;24.93;48.28;1.57;100;5.02;10.07;345
2023-10-03/18:36:30;1;24.91;43.31;1.57;150;5.02;15.04;345
2023-10-03/18:36:31;1;24.89;38.38;1.57;199;5.02;19.97;345
2023-10-03/18:36:32;1;24.87;33.35;1.57;250;5.02;25.00;345
2023-10-03/18:36:33;1;24.85;28.27;1.57;300;4.72;30.08;345
2023-10-03/18:36:34;1;25.07;24.79;1.67;335;2.20;33.57;345
2023-10-03/18:36:35;1;25.17;23.83;1.67;345;-0.03;34.53;345
2023-10-03/18:36:36;1;25.17;23.76;1.67;346;0.60;34.61;450
2023-10-03/18:36:37;1;25.49;21.96;-0.30;365;3.16;36.53;450
2023-10-03/18:36:38;1;28.01;19.27;-1.47;408;4.66;40.85;450
2023-10-03/18:36:39;1;28.36;15.92;-1.47;441;2.20;44.22;450
2023-10-03/18:36:40;1;28.44;15.14;-1.47;451;-0.03;45.19;450
2023-10-03/18:36:41;1;28.44;15.14;-1.47;451;-0.03;45.19;450
2023-10-03/18:36:42;1;28.32;16.26;-1.47;462;2.37;46.31;-1
2023-10-03/18:36:43;1;27.94;19.91;-1.47;498;4.89;49.97;-1
2023-10-03/18:36:44;1;25.22;23.23;1.67;549;5.01;55.05;-1
2023-10-03/18:36:45;1;24.85;28.20;1.57;599;5.01;60.04;-1
2023-10-03/18:36:46;1;24.87;33.16;1.57;649;5.01;65.00;-1
2023-10-03/18:36:47;1;24.89;38.19;1.57;699;5.01;70.03;-1
2023-10-03/18:36:48;1;24.91;43.18;1.57;749;5.01;75.01;-1
2023-10-03/18:36:49;1;24.93;48.14;1.57;798;5.01;79.97;-1
2023-10-03/18:36:50;1;24.97;53.18;1.56;849;5.01;85.01;-1
2023-10-03/18:36:51;1;25.03;57.12;1.56;888;2.62;88.95;-1
2023-10-03/18:36:52;1;25.05;58.35;-1.57;901;0.16;90.32;-1
2023-10-03/18:36:53;1;25.05;58.35;-1.57;901;0.00;90.19;-1
2023-10-03/18:36:54;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:55;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:56;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:57;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:58;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:36:59;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:00;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:01;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:02;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:03;1;25.04;57.55;1.56;8;2.00;0.80;450
2023-10-03/18:37:04;1;24.99;54.35;1.56;40;4.48;4.01;450
2023-10-03/18:37:05;1;24.93;49.42;1.57;89;5.00;8.93;450
2023-10-03/18:37:06;1;24.91;44.27;1.57;140;5.00;14.08;450
2023-10-03/18:37:07;1;24.90;39.31;1.57;190;5.00;19.04;450
2023-10-03/18:37:08;1;24.88;34.35;1.57;240;5.00;24.00;450
2023-10-03/18:37:09;1;24.86;29.38;1.57;289;5.00;28.97;450
2023-10-03/18:37:10;1;25.12;24.28;1.67;341;5.00;34.08;450
2023-10-03/18:37:11;1;27.70;21.06;-1.32;390;5.00;39.03;450
2023-10-03/18:37:12;1;28.26;16.90;-1.47;431;3.07;43.23;450
2023-10-03/18:37:13;1;28.45;15.08;-1.54;449;0.50;45.06;450
2023-10-03/18:37:14;1;28.45;15.07;-1.55;451;-0.04;45.11;450
2023-10-03/18:37:15;1;28.34;16.11;-1.47;461;2.29;46.16;-1
2023-10-03/18:37:16;1;27.97;19.61;-1.47;495;4.78;49.68;-1
2023-10-03/18:37:17;1;25.24;23.00;1.67;546;5.03;54.81;-1
2023-10-03/18:37:18;1;24.85;27.96;1.57;597;5.03;59.80;-1
2023-10-03/18:37:19;1;24.87;33.07;1.57;648;5.03;64.91;-1
2023-10-03/18:37:20;1;24.89;38.02;1.57;697;5.03;69.86;-1
2023-10-03/18:37:21;1;24.91;43.15;1.57;749;5.03;74.99;-1
2023-10-03/18:37:22;1;24.93;48.14;1.57;798;5.03;79.98;-1
2023-10-03/18:37:23;1;24.97;53.16;1.56;849;5.03;85.00;-1
2023-10-03/18:37:24;1;25.03;57.08;1.56;888;2.70;88.91;-1
2023-10-03/18:37:25;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:26;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:27;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:28;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:37:29;1;25.04;57.50;1.56;8;2.06;0.85;450
2023-10-03/18:37:30;1;24.98;54.21;1.56;41;4.55;4.15;450
2023-10-03/18:37:31;1;24.93;49.25;1.57;90;5.00;9.10;450
2023-10-03/18:37:32;1;24.91;44.24;1.57;141;5.00;14.11;450
2023-10-03/18:37:33;1;24.90;39.24;1.57;191;5.00;19.11;450
2023-10-03/18:37:34;1;24.88;34.25;1.57;241;5.00;24.10;450
2023-10-03/18:37:35;1;24.86;29.27;1.57;290;5.00;29.08;450
2023-10-03/18:37:36;1;25.12;24.29;1.67;340;5.00;34.07;450
2023-10-03/18:37:37;1;27.73;20.94;-1.32;391;5.00;39.15;450
2023-10-03/18:37:38;1;28.26;16.84;-1.47;432;2.99;43.29;450
2023-10-03/18:37:39;1;28.44;15.12;-1.50;449;0.51;45.03;450
2023-10-03/18:37:40;1;28.45;15.07;-1.56;449;-0.04;45.08;450
2023-10-03/18:37:41;1;28.36;15.95;-1.47;459;2.15;46.00;-1
2023-10-03/18:37:42;1;28.00;19.31;-1.47;492;4.64;49.38;-1
2023-10-03/18:37:43;1;25.28;22.57;1.67;542;5.01;54.39;-1
