Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/18:35:28;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:29;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:30;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:31;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:32;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:33;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:34;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:35;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:36;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:37;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:38;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:39;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:40;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:41;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:42;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:43;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:44;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:45;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:46;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:47;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:48;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:49;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:50;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:51;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:52;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:53;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:54;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:55;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:56;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:57;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:58;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:35:59;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:36:00;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:36:01;4;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/18:36:02;4;115.31;3.75;3.09;0;0.46;0.04;413
2023-10-03/18:36:03;4;113.65;3.95;3.02;16;2.93;1.71;413
2023-10-03/18:36:04;4;110.37;6.20;2.32;57;5.00;5.83;413
2023-10-03/18:36:05;4;108.45;10.50;-1.58;108;5.00;10.87;413
2023-10-03/18:36:06;4;108.51;15.52;-1.58;158;5.00;15.89;413
2023-10-03/18:36:07;4;108.57;20.58;-1.58;209;5.00;20.95;413
2023-10-03/18:36:08;4;108.63;25.58;-1.58;259;5.00;25.95;413
2023-10-03/18:36:09;4;108.69;30.56;-1.58;308;5.00;30.93;413
2023-10-03/18:36:10;4;108.75;35.48;-1.58;358;5.00;35.85;413
2023-10-03/18:36:11;4;108.81;40.53;-1.58;408;5.00;40.90;413
2023-10-03/18:36:12;4;104.41;40.91;-3.11;458;5.00;45.84;413
2023-10-03/18:36:13;4;99.41;40.76;-3.11;508;4.63;50.85;550
2023-10-03/18:36:14;4;96.03;40.65;-3.11;541;2.13;54.23;550
2023-10-03/18:36:15;4;93.21;40.55;-3.09;570;4.03;57.05;550
2023-10-03/18:36:16;4;88.42;40.32;-3.09;618;5.00;61.85;550
2023-10-03/18:36:17;4;83.59;40.09;-2.79;666;5.00;66.68;765
2023-10-03/18:36:18;4;79.03;37.95;-2.70;717;4.92;71.72;765
2023-10-03/18:36:19;4;74.79;35.94;-2.70;764;5.03;76.41;-1
2023-10-03/18:36:20;4;70.10;33.74;-2.70;816;5.03;81.60;-1
2023-10-03/18:36:21;4;65.56;31.60;-2.70;866;5.03;86.61;-1
2023-10-03/18:36:22;4;61.01;29.47;-2.70;916;5.03;91.64;-1
2023-10-03/18:36:23;4;56.35;27.28;-2.70;967;5.03;96.79;-1
2023-10-03/18:36:24;4;51.84;25.19;-2.72;1017;5.03;101.76;-1
2023-10-03/18:36:25;4;47.23;23.17;-2.74;1067;5.03;106.79;1488
2023-10-03/18:36:26;4;42.35;22.20;0.00;1117;5.03;111.81;1488
2023-10-03/18:36:27;4;37.29;22.19;0.00;1168;5.03;116.87;1488
2023-10-03/18:36:28;4;32.26;22.18;0.00;1218;5.03;121.90;-1
2023-10-03/18:36:29;4;27.23;22.18;0.00;1268;5.03;126.93;-1
2023-10-03/18:36:30;4;22.15;22.17;0.00;1319;5.03;132.01;-1
2023-10-03/18:36:31;4;17.10;22.16;0.00;1369;5.03;137.06;-1
2023-10-03/18:36:32;4;16.31;22.15;0.00;1419;5.03;141.97;-1
