Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/19:13:36;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/19:13:37;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/19:13:38;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/19:13:39;3;88.45;81.86;-1.56;0;0.68;0.09;454
2023-10-03/19:13:40;3;88.47;79.91;-1.56;20;3.19;2.04;454
2023-10-03/19:13:41;3;88.52;75.70;-1.56;62;5.01;6.25;454
2023-10-03/19:13:42;3;88.57;70.70;-1.56;112;5.01;11.25;454
2023-10-03/19:13:43;3;88.63;65.67;-1.56;162;5.01;16.28;454
2023-10-03/19:13:44;3;88.68;60.67;-1.56;212;5.01;21.28;454
2023-10-03/19:13:45;3;88.74;55.62;-1.56;263;5.01;26.33;454
2023-10-03/19:13:46;3;88.79;50.61;-1.56;313;5.01;31.34;454
2023-10-03/19:13:47;3;88.85;45.58;-1.56;363;5.01;36.37;454
2023-10-03/19:13:48;3;89.45;41.10;3.04;413;4.57;41.36;454
2023-10-03/19:13:49;3;92.74;40.76;3.04;446;2.07;44.67;454
2023-10-03/19:13:50;3;93.50;40.54;-2.08;456;0.90;45.66;530
2023-10-03/19:13:51;3;92.93;38.53;-1.62;477;3.40;47.81;530
2023-10-03/19:13:52;3;92.74;34.78;-1.62;514;2.85;51.57;530
2023-10-03/19:13:53;3;92.65;33.18;-1.59;530;0.36;53.17;530
2023-10-03/19:13:54;3;92.65;33.23;-1.61;532;0.66;53.28;-1
2023-10-03/19:13:55;3;92.75;35.13;-1.62;551;3.15;55.18;-1
2023-10-03/19:13:56;3;92.98;39.41;-1.62;593;5.01;59.47;-1
2023-10-03/19:13:57;3;89.90;41.06;3.04;644;5.01;64.59;-1
2023-10-03/19:13:58;3;88.85;45.02;-1.56;693;5.01;69.47;-1
2023-10-03/19:13:59;3;88.80;50.05;-1.56;743;5.01;74.50;-1
2023-10-03/19:14:00;3;88.74;55.05;-1.56;793;5.01;79.50;-1
2023-10-03/19:14:01;3;88.69;60.04;-1.56;843;5.01;84.49;-1
2023-10-03/19:14:02;3;88.63;65.19;-1.56;895;5.01;89.65;-1
2023-10-03/19:14:03;3;88.58;70.18;-1.56;945;5.01;94.64;-1
2023-10-03/19:14:04;3;88.52;75.16;-1.56;995;5.01;99.62;-1
2023-10-03/19:14:05;3;88.47;79.67;-1.56;1040;3.48;104.12;-1
2023-10-03/19:14:06;3;88.45;81.89;-1.56;1062;1.01;106.35;-1
2023-10-03/19:14:07;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/19:14:08;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/19:14:09;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/19:14:10;3;88.46;81.08;-1.56;8;2.09;0.87;454
2023-10-03/19:14:11;3;88.50;77.76;-1.56;41;4.58;4.19;454
2023-10-03/19:14:12;3;88.55;72.78;-1.56;91;5.00;9.17;454
2023-10-03/19:14:13;3;88.60;67.79;-1.56;141;5.00;14.16;454
2023-10-03/19:14:14;3;88.66;62.83;-1.56;191;5.00;19.12;454
2023-10-03/19:14:15;3;88.71;57.74;-1.56;242;5.00;24.21;454
2023-10-03/19:14:16;3;88.77;52.76;-1.56;291;5.00;29.19;454
2023-10-03/19:14:17;3;88.82;47.77;-1.56;341;5.00;34.18;454
2023-10-03/19:14:18;3;88.88;42.77;-1.56;391;5.00;39.18;454
2023-10-03/19:14:19;3;91.59;40.88;3.04;435;3.19;43.52;454
2023-10-03/19:14:20;3;93.52;40.68;3.09;454;0.68;45.45;454
2023-10-03/19:14:21;3;93.56;40.65;-2.76;455;-0.01;45.55;454
2023-10-03/19:14:22;3;93.48;40.51;-2.08;457;0.90;45.71;530
2023-10-03/19:14:23;3;92.93;38.48;-1.62;478;3.40;47.86;530
2023-10-03/19:14:24;3;92.73;34.66;-1.62;516;2.84;51.69;530
2023-10-03/19:14:25;3;92.65;33.23;-1.61;532;0.34;53.28;530
2023-10-03/19:14:26;3;92.66;33.43;-1.62;534;0.95;53.48;-1
2023-10-03/19:14:27;3;92.78;35.62;-1.62;556;3.44;55.67;-1
2023-10-03/19:14:28;3;93.20;40.02;-2.08;600;5.03;60.14;-1
2023-10-03/19:14:29;3;89.27;41.12;3.04;651;5.03;65.23;-1
2023-10-03/19:14:30;3;88.84;45.83;-1.56;701;5.03;70.29;-1
2023-10-03/19:14:31;3;88.79;50.83;-1.56;751;5.03;75.28;-1
2023-10-03/19:14:32;3;88.73;55.90;-1.56;802;5.03;80.35;-1
2023-10-03/19:14:33;3;88.68;60.88;-1.56;852;5.03;85.34;-1
2023-10-03/19:14:34;3;88.62;65.98;-1.56;903;5.03;90.43;-1
2023-10-03/19:14:35;3;88.57;70.93;-1.56;952;5.03;95.38;-1
2023-10-03/19:14:36;3;88.51;76.00;-1.56;1003;5.03;100.46;-1
2023-10-03/19:14:37;3;88.47;80.24;-1.56;1045;3.08;104.69;-1
2023-10-03/19:14:38;3;88.45;81.95;-1.57;1063;0.56;106.53;-1
2023-10-03/19:14:39;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
