Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/19:13:36;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/19:13:37;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/19:13:38;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/19:13:39;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/19:13:40;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/19:13:41;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/19:13:42;1;25.05;58.29;-1.58;0;0.55;0.06;451
2023-10-03/19:13:43;1;25.03;56.48;-1.58;18;3.06;1.87;451
2023-10-03/19:13:44;1;25.00;52.24;-1.58;61;5.00;6.11;451
2023-10-03/19:13:45;1;24.96;47.22;-1.58;111;5.00;11.13;451
2023-10-03/19:13:46;1;24.93;42.35;-1.58;160;5.00;16.00;451
2023-10-03/19:13:47;1;24.91;37.33;-1.57;210;5.00;21.02;451
2023-10-03/19:13:48;1;24.93;32.31;-1.57;260;5.00;26.04;451
2023-10-03/19:13:49;1;24.95;27.31;-1.57;309;5.00;31.04;451
2023-10-03/19:13:50;1;25.69;22.40;-0.29;359;5.00;36.04;451
2023-10-03/19:13:51;1;28.15;19.22;-1.50;409;4.60;41.02;451
2023-10-03/19:13:52;1;28.39;15.87;-1.50;442;2.10;44.38;451
2023-10-03/19:13:53;1;28.45;15.11;-1.53;452;-0.01;45.26;451
2023-10-03/19:13:54;1;28.43;15.26;-1.50;454;0.87;45.42;-1
2023-10-03/19:13:55;1;28.28;17.38;-1.50;475;3.37;47.54;-1
2023-10-03/19:13:56;1;27.86;21.89;-0.23;520;5.02;52.13;-1
2023-10-03/19:13:57;1;25.04;25.07;-1.34;570;5.02;57.11;-1
2023-10-03/19:13:58;1;24.94;30.06;-1.57;620;5.02;62.11;-1
2023-10-03/19:13:59;1;24.92;35.11;-1.57;670;5.02;67.17;-1
2023-10-03/19:14:00;1;24.91;40.14;-1.58;720;5.02;72.19;-1
2023-10-03/19:14:01;1;24.95;45.16;-1.58;771;5.02;77.22;-1
2023-10-03/19:14:02;1;24.98;50.17;-1.58;820;5.02;82.22;-1
2023-10-03/19:14:03;1;25.01;54.97;-1.58;868;4.17;87.02;-1
2023-10-03/19:14:04;1;25.05;57.93;-1.58;898;1.61;89.98;-1
2023-10-03/19:14:05;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/19:14:06;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/19:14:07;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/19:14:08;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/19:14:09;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/19:14:10;1;25.05;58.27;-1.58;0;0.63;0.08;451
2023-10-03/19:14:11;1;25.03;56.37;-1.58;20;3.15;1.98;451
2023-10-03/19:14:12;1;24.99;52.07;-1.58;63;5.02;6.28;451
2023-10-03/19:14:13;1;24.96;47.03;-1.58;113;5.02;11.33;451
2023-10-03/19:14:14;1;24.93;42.04;-1.58;163;5.02;16.32;451
2023-10-03/19:14:15;1;24.91;36.98;-1.57;213;5.02;21.38;451
