Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/17:57:10;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:11;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:12;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:13;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:14;2;67.46;55.42;-2.92;0;0.69;0.09;304
2023-10-03/17:57:15;2;65.61;55.08;-2.96;19;3.14;1.97;304
2023-10-03/17:57:16;2;61.50;53.50;-2.59;63;5.04;6.43;304
2023-10-03/17:57:17;2;60.13;49.37;-1.56;112;5.04;11.33;304
2023-10-03/17:57:18;2;60.16;44.33;-1.56;163;5.04;16.37;304
2023-10-03/17:57:19;2;60.19;39.30;-1.56;213;5.04;21.40;304
2023-10-03/17:57:20;2;61.17;34.46;1.95;264;4.51;26.42;304
2023-10-03/17:57:21;2;62.79;31.65;2.14;296;2.01;29.68;304
2023-10-03/17:57:22;2;63.50;31.26;-2.82;306;1.05;30.68;417
2023-10-03/17:57:23;2;65.66;31.98;-2.82;329;3.53;32.96;417
2023-10-03/17:57:24;2;69.94;33.40;-2.82;374;4.73;37.46;417
2023-10-03/17:57:25;2;73.33;34.04;3.11;409;2.21;40.97;417
2023-10-03/17:57:26;2;74.44;33.43;-0.90;423;1.79;42.36;453
2023-10-03/17:57:27;2;75.98;31.51;-0.90;447;1.89;44.83;453
2023-10-03/17:57:28;2;76.05;31.43;-0.90;458;1.47;45.90;-1
2023-10-03/17:57:29;2;74.34;33.57;-0.90;485;3.98;48.64;-1
2023-10-03/17:57:30;2;69.89;33.38;-2.82;533;5.00;53.41;-1
2023-10-03/17:57:31;2;65.14;31.80;-2.82;582;5.00;58.42;-1
2023-10-03/17:57:32;2;61.59;33.54;2.14;632;5.00;63.40;-1
2023-10-03/17:57:33;2;60.20;38.20;-1.56;682;5.00;68.33;-1
2023-10-03/17:57:34;2;60.17;43.18;-1.56;732;5.00;73.31;-1
2023-10-03/17:57:35;2;60.13;48.32;-1.56;783;5.00;78.45;-1
2023-10-03/17:57:36;2;60.64;52.97;-2.59;833;5.00;83.40;-1
2023-10-03/17:57:37;2;64.83;54.93;-2.96;879;3.77;88.06;-1
2023-10-03/17:57:38;2;67.33;55.40;-2.96;904;1.20;90.61;-1
2023-10-03/17:57:39;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:40;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:41;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:42;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:43;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:44;2;67.55;55.45;-1.57;-1;0.00;0.00;-1
