Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/17:57:10;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:11;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:12;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:13;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:14;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:15;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:16;1;25.04;58.26;-1.66;0;0.69;0.10;452
2023-10-03/17:57:17;1;25.02;56.40;1.56;19;3.13;1.95;452
2023-10-03/17:57:18;1;24.99;52.09;1.56;62;5.03;6.26;452
2023-10-03/17:57:19;1;24.96;47.04;1.56;113;5.03;11.31;452
2023-10-03/17:57:20;1;24.93;41.86;1.56;165;5.03;16.49;452
2023-10-03/17:57:21;1;24.90;36.97;1.56;214;5.03;21.38;452
2023-10-03/17:57:22;1;24.91;31.83;1.58;265;5.03;26.52;452
2023-10-03/17:57:23;1;24.98;26.82;1.61;315;5.03;31.53;452
2023-10-03/17:57:24;1;25.96;22.40;-0.35;365;5.03;36.55;452
2023-10-03/17:57:25;1;28.18;18.84;-1.50;414;4.46;41.52;452
2023-10-03/17:57:26;1;28.41;15.64;-1.50;446;1.95;44.73;452
2023-10-03/17:57:27;1;28.44;15.22;-1.50;454;-0.10;45.49;452
2023-10-03/17:57:28;1;28.43;15.39;-1.50;456;0.94;45.66;-1
2023-10-03/17:57:29;1;28.27;17.57;-1.50;477;3.43;47.84;-1
2023-10-03/17:57:30;1;27.59;21.80;-0.35;521;5.02;52.35;-1
2023-10-03/17:57:31;1;25.03;25.09;1.61;571;5.02;57.38;-1
2023-10-03/17:57:32;1;24.93;30.10;1.58;622;5.02;62.39;-1
2023-10-03/17:57:33;1;24.88;35.10;1.56;672;5.02;67.39;-1
2023-10-03/17:57:34;1;24.92;40.08;1.56;721;5.02;72.37;-1
2023-10-03/17:57:35;1;24.95;45.10;1.56;772;5.02;77.39;-1
2023-10-03/17:57:36;1;24.98;50.21;1.56;823;5.02;82.50;-1
2023-10-03/17:57:37;1;25.01;55.00;1.56;871;4.17;87.29;-1
2023-10-03/17:57:38;1;25.03;57.91;1.56;900;1.68;90.21;-1
2023-10-03/17:57:39;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:40;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:41;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:42;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:43;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:44;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:45;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:46;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:47;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:48;1;25.05;58.33;-1.59;0;0.30;0.02;452
2023-10-03/17:57:49;1;25.02;56.78;1.56;15;2.80;1.57;452
2023-10-03/17:57:50;1;25.00;52.73;1.56;56;5.03;5.62;452
2023-10-03/17:57:51;1;24.96;47.65;1.56;107;5.03;10.70;452
2023-10-03/17:57:52;1;24.93;42.59;1.56;157;5.03;15.76;452
2023-10-03/17:57:53;1;24.90;37.50;1.56;208;5.03;20.85;452
2023-10-03/17:57:54;1;24.90;32.49;1.58;258;5.03;25.86;452
2023-10-03/17:57:55;1;24.95;27.41;1.60;309;5.03;30.94;452
2023-10-03/17:57:56;1;25.39;22.61;-0.35;359;5.03;35.94;452
2023-10-03/17:57:57;1;28.13;19.51;-1.50;408;4.84;40.85;452
2023-10-03/17:57:58;1;28.39;15.91;-1.50;443;2.31;44.46;452
2023-10-03/17:57:59;1;28.44;15.26;-1.50;455;-0.06;45.53;452
2023-10-03/17:58:00;1;28.44;15.26;-1.50;455;-0.06;45.53;452
2023-10-03/17:58:01;1;28.38;15.95;-1.50;461;1.87;46.23;-1
2023-10-03/17:58:02;1;28.15;19.15;-1.50;493;4.42;49.43;-1
2023-10-03/17:58:03;1;25.68;22.50;-0.35;542;5.02;54.39;-1
2023-10-03/17:58:04;1;24.96;27.24;1.61;593;5.02;59.54;-1
2023-10-03/17:58:05;1;24.90;32.26;1.58;643;5.02;64.55;-1
2023-10-03/17:58:06;1;24.90;37.24;1.56;693;5.02;69.54;-1
2023-10-03/17:58:07;1;24.93;42.27;1.56;743;5.02;74.56;-1
2023-10-03/17:58:08;1;24.96;47.27;1.56;793;5.02;79.56;-1
2023-10-03/17:58:09;1;24.99;52.25;1.56;843;5.02;84.54;-1
2023-10-03/17:58:10;1;25.02;56.62;1.56;887;3.06;88.92;-1
2023-10-03/17:58:11;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:12;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:13;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:14;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:15;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:16;1;25.05;58.29;-1.62;0;0.53;0.06;452
2023-10-03/17:58:17;1;25.02;56.50;1.56;18;3.04;1.85;452
2023-10-03/17:58:18;1;24.99;52.18;1.56;61;5.02;6.17;452
2023-10-03/17:58:19;1;24.96;47.21;1.56;111;5.02;11.14;452
2023-10-03/17:58:20;1;24.93;42.14;1.56;162;5.02;16.21;452
2023-10-03/17:58:21;1;24.90;37.19;1.56;211;5.02;21.16;452
2023-10-03/17:58:22;1;24.91;32.13;1.58;262;5.02;26.22;452
2023-10-03/17:58:23;1;24.97;27.06;1.61;313;5.02;31.29;452
2023-10-03/17:58:24;1;25.62;22.52;-0.35;362;5.02;36.19;452
2023-10-03/17:58:25;1;28.16;19.09;-1.50;412;4.57;41.27;452
2023-10-03/17:58:26;1;28.39;15.81;-1.50;444;2.12;44.56;452
2023-10-03/17:58:27;1;28.42;15.51;-1.50;457;1.52;45.78;-1
2023-10-03/17:58:28;1;28.21;18.32;-1.50;485;4.05;48.60;-1
2023-10-03/17:58:29;1;26.55;22.18;-0.35;532;5.02;53.46;-1
2023-10-03/17:58:30;1;25.00;26.17;1.61;582;5.02;58.46;-1
2023-10-03/17:58:31;1;24.91;31.21;1.58;633;5.02;63.51;-1
2023-10-03/17:58:32;1;24.89;36.25;1.56;683;5.02;68.54;-1
2023-10-03/17:58:33;1;24.92;41.31;1.56;734;5.02;73.60;-1
2023-10-03/17:58:34;1;24.96;46.24;1.56;783;5.02;78.53;-1
2023-10-03/17:58:35;1;24.99;51.33;1.56;834;5.02;83.63;-1
2023-10-03/17:58:36;1;25.02;55.90;1.56;880;3.60;88.19;-1
2023-10-03/17:58:37;1;25.04;58.23;-1.66;903;1.14;90.53;-1
2023-10-03/17:58:38;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:39;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:40;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:41;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:42;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:43;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:44;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:45;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:46;1;25.03;58.07;1.79;2;1.18;0.28;452
2023-10-03/17:58:47;1;25.02;55.65;1.56;27;3.68;2.70;452
2023-10-03/17:58:48;1;24.99;51.04;1.56;73;5.01;7.31;452
2023-10-03/17:58:49;1;24.95;45.91;1.56;124;5.01;12.44;452
2023-10-03/17:58:50;1;24.92;40.99;1.56;173;5.01;17.36;452
2023-10-03/17:58:51;1;24.89;36.03;1.56;223;5.01;22.33;452
2023-10-03/17:58:52;1;24.92;30.87;1.58;275;5.01;27.48;452
2023-10-03/17:58:53;1;25.01;25.87;1.61;325;5.01;32.49;452
2023-10-03/17:58:54;1;26.80;22.09;-0.35;374;5.01;37.45;452
2023-10-03/17:58:55;1;28.23;18.13;-1.50;421;4.10;42.23;452
2023-10-03/17:58:56;1;28.43;15.30;-1.50;449;1.61;45.07;452
2023-10-03/17:58:57;1;28.43;15.32;-1.50;455;-0.02;45.59;452
2023-10-03/17:58:58;1;28.40;15.73;-1.50;459;1.45;46.01;-1
2023-10-03/17:58:59;1;28.20;18.44;-1.50;486;3.96;48.72;-1
2023-10-03/17:59:00;1;26.55;22.18;-0.35;532;5.02;53.47;-1
2023-10-03/17:59:01;1;25.00;26.22;1.61;583;5.02;58.52;-1
2023-10-03/17:59:02;1;24.91;31.21;1.58;633;5.02;63.50;-1
2023-10-03/17:59:03;1;24.89;36.26;1.56;683;5.02;68.55;-1
2023-10-03/17:59:04;1;24.92;41.27;1.56;733;5.02;73.57;-1
2023-10-03/17:59:05;1;24.96;46.33;1.56;784;5.02;78.63;-1
2023-10-03/17:59:06;1;24.99;51.35;1.56;834;5.02;83.64;-1
2023-10-03/17:59:07;1;25.02;55.90;1.56;880;3.55;88.20;-1
2023-10-03/17:59:08;1;25.04;58.20;-1.66;903;1.06;90.49;-1
2023-10-03/17:59:09;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:59:10;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:59:11;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:59:12;1;25.03;57.70;1.56;6;1.80;0.65;452
2023-10-03/17:59:13;1;25.01;54.69;1.56;36;4.28;3.66;452
2023-10-03/17:59:14;1;24.98;49.66;1.56;87;5.01;8.69;452
2023-10-03/17:59:15;1;24.95;44.65;1.56;137;5.01;13.70;452
2023-10-03/17:59:16;1;24.91;39.65;1.56;187;5.01;18.70;452
2023-10-03/17:59:17;1;24.88;34.66;1.57;237;5.01;23.70;452
2023-10-03/17:59:18;1;24.93;29.66;1.58;287;5.01;28.69;452
2023-10-03/17:59:19;1;25.05;24.66;1.61;337;5.01;33.69;452
2023-10-03/17:59:20;1;27.98;21.55;-1.50;388;5.01;38.80;452
2023-10-03/17:59:21;1;28.30;17.14;-1.50;431;3.37;43.23;452
2023-10-03/17:59:22;1;28.45;15.07;-1.55;453;0.89;45.34;452
2023-10-03/17:59:24;1;28.44;15.23;-1.50;454;-0.03;45.50;452
2023-10-03/17:59:25;1;28.40;15.71;-1.50;459;1.54;45.98;-1
2023-10-03/17:59:26;1;28.20;18.49;-1.50;486;4.04;48.77;-1
2023-10-03/17:59:27;1;26.31;22.27;-0.35;535;5.00;53.72;-1
2023-10-03/17:59:28;1;24.99;26.43;1.61;585;5.00;58.72;-1
2023-10-03/17:59:29;1;24.91;31.38;1.58;634;5.00;63.67;-1
2023-10-03/17:59:30;1;24.89;36.40;1.56;685;5.00;68.69;-1
2023-10-03/17:59:31;1;24.92;41.37;1.56;734;5.00;73.66;-1
2023-10-03/17:59:32;1;24.96;46.36;1.56;784;5.00;78.66;-1
2023-10-03/17:59:33;1;24.99;51.35;1.56;834;5.00;83.64;-1
2023-10-03/17:59:34;1;25.02;55.91;1.56;880;3.50;88.20;-1
2023-10-03/17:59:35;1;25.03;58.15;4.23;902;1.01;90.44;-1
2023-10-03/17:59:36;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:59:37;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:59:38;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:59:39;1;25.03;58.05;1.56;3;1.22;0.30;452
2023-10-03/17:59:40;1;25.02;55.59;1.56;27;3.71;2.76;452
2023-10-03/17:59:41;1;24.99;50.94;1.56;74;5.01;7.41;452
2023-10-03/17:59:42;1;24.95;45.85;1.56;125;5.01;12.50;452
2023-10-03/17:59:43;1;24.92;40.87;1.56;175;5.01;17.48;452
2023-10-03/17:59:44;1;24.89;35.86;1.56;225;5.01;22.49;452
2023-10-03/17:59:45;1;24.92;30.84;1.58;275;5.01;27.51;452
2023-10-03/17:59:46;1;25.01;25.80;1.61;326;5.01;32.55;452
2023-10-03/17:59:47;1;26.90;22.05;-0.35;375;5.01;37.56;452
2023-10-03/17:59:48;1;28.23;18.04;-1.50;422;3.95;42.33;452
2023-10-03/17:59:49;1;28.43;15.33;-1.50;449;1.42;45.04;452
2023-10-03/17:59:50;1;28.44;15.17;-1.50;454;-0.04;45.45;452
2023-10-03/17:59:51;1;28.42;15.43;-1.50;456;1.14;45.70;-1
2023-10-03/17:59:52;1;28.26;17.73;-1.50;479;3.58;48.00;-1
2023-10-03/17:59:53;1;27.32;21.90;-0.35;524;5.05;52.64;-1
2023-10-03/17:59:54;1;25.02;25.44;1.61;575;5.05;57.73;-1
2023-10-03/17:59:55;1;24.92;30.50;1.58;626;5.05;62.79;-1
2023-10-03/17:59:56;1;24.89;35.59;1.56;677;5.05;67.88;-1
2023-10-03/17:59:57;1;24.92;40.63;1.56;727;5.05;72.92;-1
2023-10-03/17:59:58;1;24.95;45.60;1.56;777;5.05;77.89;-1
2023-10-03/17:59:59;1;24.98;50.65;1.56;827;5.05;82.94;-1
2023-10-03/18:00:00;1;25.02;55.46;1.56;875;3.94;87.76;-1
2023-10-03/18:00:01;1;25.03;58.15;4.49;902;1.43;90.45;-1
2023-10-03/18:00:02;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:00:03;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:00:04;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:00:05;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:00:06;1;25.03;57.69;1.56;6;1.82;0.66;452
2023-10-03/18:00:07;1;25.01;54.67;1.56;37;4.29;3.69;452
2023-10-03/18:00:08;1;24.98;49.64;1.56;87;5.04;8.71;345
2023-10-03/18:00:09;1;24.95;44.61;1.56;137;5.04;13.74;345
2023-10-03/18:00:10;1;24.91;39.64;1.56;187;5.04;18.71;345
2023-10-03/18:00:11;1;24.88;34.49;1.58;238;5.04;23.86;345
2023-10-03/18:00:12;1;24.93;29.50;1.58;288;5.04;28.85;345
2023-10-03/18:00:13;1;25.02;25.42;1.61;329;2.86;32.93;345
2023-10-03/18:00:14;1;25.08;23.82;1.61;345;0.38;34.53;345
2023-10-03/18:00:15;1;25.08;23.79;1.61;346;-0.01;34.56;345
2023-10-03/18:00:16;1;25.08;23.77;1.61;346;0.32;34.58;452
2023-10-03/18:00:17;1;25.61;22.52;-0.35;362;2.85;36.18;452
2023-10-03/18:00:18;1;28.07;20.24;-1.50;401;5.02;40.12;452
2023-10-03/18:00:19;1;28.36;16.28;-1.50;439;2.65;44.09;452
2023-10-03/18:00:20;1;28.44;15.22;-1.50;454;0.15;45.49;452
2023-10-03/18:00:21;1;28.41;15.55;-1.50;457;1.27;45.82;-1
2023-10-03/18:00:22;1;28.23;18.09;-1.50;482;3.79;48.37;-1
2023-10-03/18:00:23;1;26.83;22.08;-0.35;529;5.00;53.16;-1
2023-10-03/18:00:24;1;25.01;25.80;1.61;579;5.00;58.10;-1
2023-10-03/18:00:25;1;24.92;30.82;1.58;629;5.00;63.12;-1
2023-10-03/18:00:26;1;24.89;35.78;1.56;679;5.00;68.08;-1
2023-10-03/18:00:27;1;24.92;40.78;1.56;729;5.00;73.07;-1
2023-10-03/18:00:28;1;24.95;45.86;1.56;779;5.00;78.16;-1
2023-10-03/18:00:29;1;24.99;50.80;1.56;829;5.00;83.10;-1
2023-10-03/18:00:30;1;25.02;55.53;1.56;876;3.82;87.83;-1
2023-10-03/18:00:31;1;25.03;58.13;3.63;902;1.28;90.42;-1
2023-10-03/18:00:32;1;25.05;58.35;-1.57;905;0.00;90.64;-1
2023-10-03/18:00:33;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:00:34;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:00:35;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:00:36;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:00:37;1;25.03;57.55;1.56;8;2.00;0.80;452
2023-10-03/18:00:38;1;25.01;54.25;1.56;41;4.53;4.10;452
2023-10-03/18:00:39;1;24.98;49.25;1.56;91;5.03;9.10;452
2023-10-03/18:00:40;1;24.94;44.29;1.56;140;5.03;14.06;452
2023-10-03/18:00:41;1;24.91;39.26;1.56;191;5.03;19.09;452
2023-10-03/18:00:42;1;24.88;34.21;1.58;241;5.03;24.14;452
2023-10-03/18:00:43;1;24.94;29.16;1.58;292;5.03;29.19;452
2023-10-03/18:00:44;1;25.07;24.14;1.61;342;5.03;34.21;452
2023-10-03/18:00:45;1;28.00;21.21;-1.50;391;5.03;39.15;452
2023-10-03/18:00:46;1;28.32;16.85;-1.50;434;3.14;43.51;452
2023-10-03/18:00:47;1;28.44;15.14;-1.51;453;0.63;45.41;452
2023-10-03/18:00:48;1;28.41;15.60;-1.50;458;1.40;45.87;-1
2023-10-03/18:00:49;1;28.22;18.19;-1.50;483;3.87;48.47;-1
2023-10-03/18:00:50;1;26.75;22.11;-0.35;530;5.02;53.25;-1
2023-10-03/18:00:51;1;25.00;26.06;1.61;581;5.02;58.35;-1
2023-10-03/18:00:52;1;24.92;31.00;1.58;631;5.02;63.30;-1
2023-10-03/18:00:53;1;24.89;36.12;1.56;682;5.02;68.41;-1
2023-10-03/18:00:54;1;24.92;41.13;1.56;732;5.02;73.42;-1
2023-10-03/18:00:55;1;24.96;46.15;1.56;782;5.02;78.44;-1
2023-10-03/18:00:56;1;24.99;51.17;1.56;833;5.02;83.47;-1
2023-10-03/18:00:57;1;25.02;55.82;1.56;879;3.63;88.11;-1
2023-10-03/18:00:58;1;25.04;58.20;-1.66;903;1.13;90.49;-1
2023-10-03/18:00:59;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:01:00;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:01:01;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/18:01:02;1;25.03;57.62;1.56;7;1.91;0.73;452
2023-10-03/18:01:03;1;25.01;54.46;1.56;39;4.41;3.89;452
2023-10-03/18:01:04;1;24.98;49.50;1.56;88;5.02;8.85;452
2023-10-03/18:01:05;1;24.94;44.50;1.56;138;5.02;13.86;452
2023-10-03/18:01:06;1;24.91;39.47;1.56;189;5.02;18.88;452
2023-10-03/18:01:07;1;24.88;34.32;1.58;240;5.02;24.03;452
2023-10-03/18:01:08;1;24.93;29.30;1.58;290;5.02;29.05;452
2023-10-03/18:01:09;1;25.06;24.29;1.61;341;5.02;34.07;452
