Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/17:57:10;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:11;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:12;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:13;3;88.45;81.84;-1.58;1;0.74;0.11;519
2023-10-03/17:57:14;3;88.44;79.84;-1.58;21;3.25;2.11;519
2023-10-03/17:57:15;3;88.41;75.40;-1.58;65;5.07;6.55;519
2023-10-03/17:57:16;3;88.37;70.34;-1.58;115;5.07;11.61;519
2023-10-03/17:57:17;3;88.34;65.28;-1.58;166;5.07;16.67;519
2023-10-03/17:57:18;3;88.30;60.23;-1.58;216;5.07;21.72;519
2023-10-03/17:57:19;3;88.27;55.11;-1.58;267;5.07;26.84;519
2023-10-03/17:57:20;3;88.23;50.05;-1.58;318;5.07;31.90;519
2023-10-03/17:57:21;3;88.20;44.97;-1.58;369;5.07;36.99;519
2023-10-03/17:57:22;3;89.76;41.07;2.83;419;5.07;42.04;519
2023-10-03/17:57:23;3;92.74;38.09;-1.59;471;5.00;47.23;519
2023-10-03/17:57:24;3;92.67;34.35;-1.59;508;2.50;50.97;519
2023-10-03/17:57:25;3;92.65;33.20;-1.58;521;0.06;52.22;519
2023-10-03/17:57:26;3;92.65;33.42;-1.59;523;1.03;52.43;-1
2023-10-03/17:57:27;3;92.69;35.61;-1.59;545;3.47;54.63;-1
2023-10-03/17:57:28;3;92.73;40.12;3.70;590;5.02;59.17;-1
2023-10-03/17:57:29;3;88.17;41.83;-1.58;640;5.02;64.21;-1
2023-10-03/17:57:30;3;88.21;46.83;-1.58;690;5.02;69.22;-1
2023-10-03/17:57:31;3;88.24;51.86;-1.58;740;5.02;74.24;-1
2023-10-03/17:57:32;3;88.28;57.00;-1.58;791;5.02;79.38;-1
2023-10-03/17:57:33;3;88.31;61.91;-1.58;840;5.02;84.29;-1
2023-10-03/17:57:34;3;88.35;66.90;-1.58;890;5.02;89.29;-1
2023-10-03/17:57:35;3;88.38;72.05;-1.58;942;5.02;94.43;-1
2023-10-03/17:57:36;3;88.42;77.03;-1.58;991;5.02;99.41;-1
2023-10-03/17:57:37;3;88.44;80.77;-1.58;1029;2.54;103.16;-1
2023-10-03/17:57:38;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:39;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:40;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:41;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:42;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:43;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:57:44;3;88.45;81.91;-1.57;0;0.46;0.04;519
2023-10-03/17:57:45;3;88.44;80.13;-1.58;18;3.02;1.82;519
2023-10-03/17:57:46;3;88.41;75.97;-1.58;59;5.02;5.98;519
2023-10-03/17:57:47;3;88.37;70.98;-1.58;109;5.02;10.97;519
2023-10-03/17:57:48;3;88.34;66.00;-1.58;159;5.02;15.95;519
2023-10-03/17:57:49;3;88.31;60.94;-1.58;209;5.02;21.01;519
2023-10-03/17:57:50;3;88.27;55.93;-1.58;259;5.02;26.02;519
2023-10-03/17:57:51;3;88.24;50.83;-1.58;310;5.02;31.12;519
2023-10-03/17:57:52;3;88.20;45.79;-1.58;360;5.02;36.16;519
2023-10-03/17:57:53;3;88.86;41.36;2.83;410;5.02;41.10;519
2023-10-03/17:57:54;3;92.76;39.06;-1.59;461;5.02;46.25;519
2023-10-03/17:57:55;3;92.68;34.95;-1.59;502;3.04;50.37;519
2023-10-03/17:57:56;3;92.65;33.17;-1.57;519;0.54;52.15;519
2023-10-03/17:57:57;3;92.68;34.64;-1.59;535;2.75;53.66;-1
2023-10-03/17:57:58;3;92.75;38.62;-1.59;575;5.03;57.63;-1
2023-10-03/17:57:59;3;89.36;41.20;2.83;625;5.03;62.71;-1
2023-10-03/17:58:00;3;88.20;45.23;-1.58;674;5.03;67.61;-1
2023-10-03/17:58:01;3;88.23;50.24;-1.58;724;5.03;72.62;-1
2023-10-03/17:58:02;3;88.27;55.39;-1.58;775;5.03;77.78;-1
2023-10-03/17:58:03;3;88.30;60.39;-1.58;825;5.03;82.77;-1
2023-10-03/17:58:04;3;88.34;65.54;-1.58;877;5.03;87.93;-1
2023-10-03/17:58:05;3;88.37;70.56;-1.58;927;5.03;92.94;-1
2023-10-03/17:58:06;3;88.41;75.55;-1.58;977;5.03;97.94;-1
2023-10-03/17:58:07;3;88.44;79.97;-1.58;1021;3.27;102.35;-1
2023-10-03/17:58:08;3;88.45;81.95;-1.57;1041;0.78;104.37;-1
2023-10-03/17:58:09;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:10;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:11;3;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:58:12;3;88.45;81.82;-1.58;1;0.80;0.13;519
2023-10-03/17:58:13;3;88.43;79.73;-1.58;22;3.33;2.22;519
2023-10-03/17:58:14;3;88.40;75.30;-1.58;66;5.03;6.65;519
2023-10-03/17:58:15;3;88.37;70.20;-1.58;117;5.03;11.75;519
2023-10-03/17:58:16;3;88.34;65.22;-1.58;166;5.03;16.73;519
2023-10-03/17:58:17;3;88.30;60.24;-1.58;216;5.03;21.71;519
2023-10-03/17:58:18;3;88.27;55.10;-1.58;267;5.03;26.85;519
2023-10-03/17:58:19;3;88.23;50.07;-1.58;318;5.03;31.88;519
2023-10-03/17:58:20;3;88.20;45.20;-1.58;366;5.03;36.75;519
