Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/17:53:18;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:53:19;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:53:20;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:53:21;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:53:22;6;88.35;101.05;-1.57;0;0.00;0.00;655
2023-10-03/17:53:23;6;88.44;99.80;-1.50;12;2.50;1.25;655
2023-10-03/17:53:24;6;89.24;96.40;2.82;50;5.02;5.07;655
2023-10-03/17:53:25;6;94.05;94.82;2.82;101;5.02;10.13;655
2023-10-03/17:53:26;6;95.80;91.18;-1.60;151;5.02;15.10;655
2023-10-03/17:53:27;6;95.70;86.20;-1.57;201;5.02;20.09;655
2023-10-03/17:53:28;6;95.70;81.30;-1.57;250;5.02;24.98;655
2023-10-03/17:53:29;6;95.70;76.29;-1.57;300;5.02;29.99;655
2023-10-03/17:53:30;6;95.70;71.13;-1.57;352;5.02;35.16;655
2023-10-03/17:53:31;6;95.70;66.15;-1.57;401;5.02;40.14;655
2023-10-03/17:53:32;6;95.70;61.04;-1.57;453;5.02;45.25;655
2023-10-03/17:53:33;6;95.70;56.06;-1.57;502;5.02;50.23;655
2023-10-03/17:53:34;6;95.72;50.95;-1.57;553;5.02;55.34;655
2023-10-03/17:53:35;6;95.75;46.00;-1.57;603;5.02;60.29;655
2023-10-03/17:53:36;6;95.67;42.05;-2.19;642;2.65;64.27;655
2023-10-03/17:53:37;6;94.56;40.92;-2.82;659;1.74;65.91;673
2023-10-03/17:53:38;6;92.93;40.38;-2.82;676;1.86;67.63;750
2023-10-03/17:53:39;6;92.64;37.62;-1.57;706;4.32;70.66;750
2023-10-03/17:53:40;6;92.65;34.06;-1.57;741;2.25;74.22;750
2023-10-03/17:53:41;6;92.65;33.48;-1.57;754;1.29;75.46;-1
2023-10-03/17:53:42;6;92.64;35.99;-1.57;778;3.77;77.97;-1
2023-10-03/17:53:43;6;92.92;40.38;-2.82;824;5.02;82.63;-1
2023-10-03/17:53:44;6;95.76;43.69;-1.57;874;5.02;87.67;-1
2023-10-03/17:53:45;6;95.73;48.68;-1.57;924;5.02;92.66;-1
2023-10-03/17:53:46;6;95.71;53.78;-1.57;975;5.02;97.76;-1
2023-10-03/17:53:47;6;95.70;58.83;-1.57;1025;5.02;102.80;-1
2023-10-03/17:53:48;6;95.70;63.77;-1.57;1075;5.02;107.75;-1
2023-10-03/17:53:49;6;95.70;68.84;-1.57;1125;5.02;112.82;-1
2023-10-03/17:53:50;6;95.70;73.82;-1.57;1175;5.02;117.80;-1
2023-10-03/17:53:51;6;95.70;78.84;-1.57;1225;5.02;122.82;-1
2023-10-03/17:53:52;6;95.70;83.93;-1.57;1276;5.02;127.91;-1
2023-10-03/17:53:53;6;95.74;88.96;-1.60;1327;5.02;132.94;-1
2023-10-03/17:53:54;6;95.87;93.91;-1.60;1376;5.02;137.89;-1
2023-10-03/17:53:55;6;91.34;95.71;2.82;1427;5.02;142.99;-1
2023-10-03/17:53:56;6;88.54;98.46;-1.50;1474;3.68;147.66;-1
2023-10-03/17:53:57;6;88.36;100.87;-1.50;1499;1.18;150.09;-1
2023-10-03/17:53:58;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:53:59;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:54:00;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:54:01;6;88.39;100.46;-1.50;5;1.72;0.59;652
2023-10-03/17:54:02;6;88.62;97.42;-1.50;36;4.27;3.64;655
2023-10-03/17:54:03;6;92.45;95.35;2.82;84;5.01;8.44;655
2023-10-03/17:54:04;6;95.84;92.75;-1.60;135;5.01;13.54;655
2023-10-03/17:54:05;6;95.71;87.70;-1.60;186;5.01;18.58;655
2023-10-03/17:54:06;6;95.70;82.55;-1.57;238;5.01;23.74;655
2023-10-03/17:54:07;6;95.70;77.54;-1.57;288;5.01;28.75;655
2023-10-03/17:54:08;6;95.70;72.59;-1.57;337;5.01;33.69;750
2023-10-03/17:54:09;6;95.70;67.49;-1.57;388;5.01;38.79;750
2023-10-03/17:54:10;6;95.70;62.50;-1.57;438;5.01;43.79;750
2023-10-03/17:54:11;6;95.70;57.40;-1.57;489;5.01;48.89;750
2023-10-03/17:54:12;6;95.71;52.44;-1.57;538;5.01;53.84;750
2023-10-03/17:54:13;6;95.74;47.37;-1.57;589;5.01;58.92;750
2023-10-03/17:54:14;6;95.77;42.37;-1.57;639;5.01;63.92;750
2023-10-03/17:54:15;6;92.64;39.34;-1.57;689;5.01;68.94;750
2023-10-03/17:54:16;6;92.65;35.03;-1.57;731;3.12;73.25;750
2023-10-03/17:54:17;6;92.65;33.16;-1.57;749;0.63;75.12;750
2023-10-03/17:54:18;6;92.65;33.22;-1.57;751;-0.04;75.20;750
2023-10-03/17:54:19;6;92.65;33.22;-1.57;751;-0.04;75.20;750
2023-10-03/17:54:20;6;92.65;34.21;-1.57;761;2.24;76.20;-1
2023-10-03/17:54:21;6;92.64;37.80;-1.57;796;4.79;79.78;-1
2023-10-03/17:54:22;6;94.89;41.04;-2.82;845;5.00;84.71;-1
2023-10-03/17:54:23;6;95.75;45.79;-1.57;895;5.00;89.77;-1
2023-10-03/17:54:24;6;95.72;50.79;-1.57;945;5.00;94.77;-1
2023-10-03/17:54:25;6;95.70;55.78;-1.57;995;5.00;99.76;-1
2023-10-03/17:54:26;6;95.70;60.73;-1.57;1044;5.00;104.71;-1
2023-10-03/17:54:27;6;95.70;65.72;-1.57;1094;5.00;109.70;-1
2023-10-03/17:54:28;6;95.70;70.85;-1.57;1145;5.00;114.83;-1
2023-10-03/17:54:29;6;95.70;75.83;-1.57;1195;5.00;119.81;-1
2023-10-03/17:54:30;6;95.70;80.84;-1.57;1245;5.00;124.82;-1
2023-10-03/17:54:31;6;95.70;85.81;-1.57;1295;5.00;129.79;-1
2023-10-03/17:54:32;6;95.79;90.77;-1.60;1345;5.00;134.75;-1
