Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/17:53:18;4;81.35;79.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:53:19;4;81.35;79.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:53:20;4;81.35;79.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:53:21;4;81.35;79.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:53:22;4;81.35;79.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:53:23;4;81.35;79.42;-1.57;0;0.40;0.03;481
2023-10-03/17:53:24;4;81.36;77.82;-1.57;16;2.86;1.63;481
2023-10-03/17:53:25;4;81.38;73.71;-1.57;57;5.02;5.74;481
2023-10-03/17:53:26;4;81.41;68.58;-1.57;108;5.02;10.87;481
2023-10-03/17:53:27;4;81.43;63.59;-1.57;158;5.02;15.86;481
2023-10-03/17:53:28;4;81.46;58.58;-1.57;208;5.02;20.87;481
2023-10-03/17:53:29;4;81.48;53.57;-1.57;257;5.02;25.88;481
2023-10-03/17:53:30;4;81.51;48.56;-1.57;307;5.02;30.89;481
2023-10-03/17:53:31;4;81.89;43.58;-1.20;357;5.02;35.90;481
2023-10-03/17:53:32;4;80.99;39.32;0.52;408;5.02;41.01;482
2023-10-03/17:53:33;4;76.95;37.01;0.52;454;3.72;45.67;482
2023-10-03/17:53:34;4;74.84;35.80;0.52;479;1.29;48.10;482
2023-10-03/17:53:35;4;74.55;35.63;0.52;482;-0.01;48.43;482
2023-10-03/17:53:36;4;74.47;35.59;0.52;483;0.54;48.53;484
2023-10-03/17:53:37;4;74.32;35.50;0.52;485;0.74;48.69;513
2023-10-03/17:53:38;4;72.66;34.55;0.52;504;2.19;50.61;513
2023-10-03/17:53:39;4;71.98;34.09;-0.06;515;0.67;51.66;572
2023-10-03/17:53:40;4;73.92;33.90;-0.86;535;3.21;53.63;572
2023-10-03/17:53:41;4;75.92;31.56;-0.86;565;1.98;56.71;572
2023-10-03/17:53:42;4;76.15;31.28;-0.86;576;1.06;57.68;-1
2023-10-03/17:53:43;4;74.69;33.00;-0.86;598;3.52;59.94;-1
2023-10-03/17:53:44;4;73.00;34.75;0.52;644;5.02;64.54;-1
2023-10-03/17:53:45;4;77.33;37.22;0.52;694;5.02;69.52;-1
2023-10-03/17:53:46;4;81.77;39.76;0.52;745;5.02;74.64;-1
2023-10-03/17:53:47;4;81.81;44.30;-1.45;794;5.02;79.59;-1
2023-10-03/17:53:48;4;81.50;49.32;-1.57;844;5.02;84.63;-1
2023-10-03/17:53:49;4;81.48;54.37;-1.57;894;5.02;89.68;-1
2023-10-03/17:53:50;4;81.45;59.37;-1.57;944;5.02;94.67;-1
2023-10-03/17:53:51;4;81.43;64.38;-1.57;994;5.02;99.69;-1
2023-10-03/17:53:52;4;81.40;69.43;-1.57;1045;5.02;104.74;-1
2023-10-03/17:53:53;4;81.38;74.50;-1.57;1095;5.02;109.81;-1
2023-10-03/17:53:54;4;81.36;78.24;-1.57;1132;2.55;113.55;-1
2023-10-03/17:53:55;4;81.35;79.45;-1.57;1145;0.03;114.85;-1
2023-10-03/17:53:56;4;81.35;79.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:53:57;4;81.35;79.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:53:58;4;81.35;79.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:53:59;4;81.36;78.44;-1.57;10;2.25;1.01;381
2023-10-03/17:54:00;4;81.37;74.93;-1.57;45;4.75;4.52;381
2023-10-03/17:54:01;4;81.40;69.89;-1.57;95;5.03;9.56;381
2023-10-03/17:54:02;4;81.42;64.94;-1.57;144;5.03;14.51;381
2023-10-03/17:54:03;4;81.45;59.85;-1.57;195;5.03;19.60;383
2023-10-03/17:54:04;4;81.48;54.74;-1.57;246;5.03;24.71;438
2023-10-03/17:54:05;4;81.50;49.77;-1.57;295;5.03;29.68;438
2023-10-03/17:54:06;4;81.76;44.68;-1.45;346;5.03;34.79;438
2023-10-03/17:54:07;4;82.05;39.92;0.52;395;4.63;39.79;438
2023-10-03/17:54:08;4;78.19;37.71;0.52;440;5.03;44.24;513
2023-10-03/17:54:09;4;74.08;35.37;0.52;488;3.63;48.97;513
2023-10-03/17:54:10;4;72.02;34.19;0.52;512;1.14;51.34;513
2023-10-03/17:54:11;4;71.93;34.09;-0.06;514;-0.03;51.60;513
2023-10-03/17:54:12;4;71.93;34.09;-0.06;514;-0.03;51.60;513
2023-10-03/17:54:13;4;72.00;34.09;-0.06;515;0.59;51.67;572
2023-10-03/17:54:14;4;73.84;33.98;-0.77;533;3.09;53.51;572
2023-10-03/17:54:15;4;75.89;31.59;-0.86;565;2.16;56.67;572
2023-10-03/17:54:16;4;76.20;31.22;-0.86;575;-0.06;57.60;572
