Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/17:12:18;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:19;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:20;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:21;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:22;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:23;6;88.42;100.16;-1.50;8;2.11;0.89;738
2023-10-03/17:12:24;6;88.66;96.87;-1.50;41;4.58;4.19;738
2023-10-03/17:12:25;6;93.26;95.32;2.90;92;5.04;9.34;738
2023-10-03/17:12:26;6;98.15;94.13;2.90;143;5.04;14.37;738
2023-10-03/17:12:27;6;102.03;92.15;-1.56;193;5.04;19.39;738
2023-10-03/17:12:28;6;102.11;87.14;-1.56;243;5.04;24.41;738
2023-10-03/17:12:29;6;102.19;82.12;-1.56;293;5.04;29.43;738
2023-10-03/17:12:30;6;101.70;77.12;-1.19;344;5.04;34.52;738
2023-10-03/17:12:31;6;97.03;75.18;-2.76;395;5.04;39.60;738
2023-10-03/17:12:32;6;95.93;70.64;-1.60;445;5.04;44.61;738
2023-10-03/17:12:33;6;95.77;65.62;-1.60;495;5.04;49.64;738
2023-10-03/17:12:34;6;95.61;60.55;-1.60;546;5.04;54.71;738
2023-10-03/17:12:35;6;95.45;55.51;-1.60;597;5.04;59.75;738
2023-10-03/17:12:36;6;95.29;50.52;-1.60;647;5.04;64.74;738
2023-10-03/17:12:37;6;95.13;45.53;-1.60;697;5.04;69.73;833
2023-10-03/17:12:38;6;93.74;41.08;-2.63;749;5.04;74.93;833
2023-10-03/17:12:39;6;92.67;36.89;-1.58;797;4.32;79.73;833
2023-10-03/17:12:40;6;92.65;33.83;-1.58;827;1.85;82.79;833
2023-10-03/17:12:41;6;92.65;33.16;-1.57;835;0.23;83.48;892
2023-10-03/17:12:42;6;92.66;34.61;-1.58;849;2.70;84.93;-1
2023-10-03/17:12:43;6;92.67;38.63;-1.58;888;5.03;88.95;-1
2023-10-03/17:12:44;6;95.02;42.19;-1.60;937;5.03;93.86;-1
2023-10-03/17:12:45;6;95.19;47.39;-1.60;990;5.03;99.06;-1
2023-10-03/17:12:46;6;95.35;52.30;-1.60;1039;5.03;103.98;-1
2023-10-03/17:12:47;6;95.51;57.36;-1.60;1090;5.03;109.04;-1
2023-10-03/17:12:48;6;95.67;62.33;-1.60;1140;5.03;114.01;-1
2023-10-03/17:12:49;6;95.83;67.41;-1.60;1191;5.03;119.10;-1
2023-10-03/17:12:50;6;95.99;72.46;-1.60;1242;5.03;124.15;-1
2023-10-03/17:12:51;6;98.74;75.87;-2.76;1292;5.03;129.19;-1
2023-10-03/17:12:52;6;102.24;78.74;-1.56;1341;5.03;134.13;-1
2023-10-03/17:12:53;6;102.16;83.85;-1.56;1392;5.03;139.25;-1
2023-10-03/17:12:54;6;102.08;88.86;-1.56;1442;5.03;144.26;-1
2023-10-03/17:12:55;6;101.26;93.37;2.90;1493;5.03;149.37;-1
2023-10-03/17:12:56;6;96.46;94.54;2.90;1543;5.03;154.31;-1
2023-10-03/17:12:57;6;91.57;95.73;2.90;1593;5.03;159.34;-1
2023-10-03/17:12:58;6;88.56;98.22;-1.50;1640;3.78;164.11;-1
2023-10-03/17:12:59;6;88.37;100.72;-1.50;1665;1.32;166.61;-1
2023-10-03/17:13:00;6;88.35;101.05;-1.57;1669;0.00;166.94;-1
2023-10-03/17:13:01;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:13:02;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:13:03;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:13:04;6;88.38;100.61;-1.50;4;1.48;0.44;738
2023-10-03/17:13:05;6;88.58;97.98;-1.50;30;3.92;3.08;738
2023-10-03/17:13:06;6;91.87;95.66;2.90;78;5.01;7.91;738
2023-10-03/17:13:07;6;96.80;94.46;2.90;129;5.01;12.98;738
2023-10-03/17:13:08;6;101.72;93.26;2.90;179;5.01;18.05;833
2023-10-03/17:13:09;6;102.09;88.44;-1.56;230;5.01;23.10;833
2023-10-03/17:13:10;6;102.17;83.35;-1.56;281;5.01;28.20;833
2023-10-03/17:13:11;6;102.17;78.47;-1.91;330;5.01;33.09;833
2023-10-03/17:13:12;6;98.38;75.72;-2.76;380;5.01;38.14;729
2023-10-03/17:13:13;6;95.98;72.13;-1.60;430;5.01;43.13;729
2023-10-03/17:13:14;6;95.81;66.99;-1.60;481;5.01;48.26;729
2023-10-03/17:13:15;6;95.66;62.08;-1.60;531;5.01;53.18;729
2023-10-03/17:13:16;6;95.50;57.08;-1.60;581;5.01;58.18;729
2023-10-03/17:13:17;6;95.34;52.03;-1.60;632;5.01;63.23;833
2023-10-03/17:13:18;6;95.18;47.09;-1.60;681;5.01;68.18;833
2023-10-03/17:13:19;6;95.02;42.03;-1.60;732;5.01;73.23;833
2023-10-03/17:13:20;6;92.67;38.36;-1.58;782;5.01;78.26;833
2023-10-03/17:13:21;6;92.66;34.52;-1.58;820;2.59;82.10;833
2023-10-03/17:13:22;6;92.65;33.19;-1.57;833;0.08;83.43;833
2023-10-03/17:13:23;6;92.65;33.19;-1.57;833;-0.07;83.43;833
2023-10-03/17:13:24;6;92.65;33.19;-1.57;833;-0.07;83.43;833
2023-10-03/17:13:25;6;92.65;33.19;-1.57;833;-0.07;83.43;833
2023-10-03/17:13:26;6;92.65;33.18;-1.57;833;0.08;83.43;-1
2023-10-03/17:13:27;6;92.66;34.50;-1.58;848;2.63;84.82;-1
2023-10-03/17:13:28;6;92.67;38.35;-1.58;886;5.02;88.67;-1
2023-10-03/17:13:29;6;95.02;41.97;-1.60;935;5.02;93.64;-1
2023-10-03/17:13:30;6;95.18;47.04;-1.60;986;5.02;98.72;-1
2023-10-03/17:13:31;6;95.34;51.97;-1.60;1036;5.02;103.65;-1
2023-10-03/17:13:32;6;95.50;56.96;-1.60;1086;5.02;108.64;-1
2023-10-03/17:13:33;6;95.66;62.10;-1.60;1138;5.02;113.79;-1
2023-10-03/17:13:34;6;95.82;67.11;-1.60;1188;5.02;118.80;-1
2023-10-03/17:13:35;6;95.98;72.08;-1.60;1238;5.02;123.77;-1
2023-10-03/17:13:36;6;98.45;75.75;-2.76;1289;5.02;128.87;-1
2023-10-03/17:13:37;6;102.16;78.42;-1.91;1338;5.02;133.80;-1
2023-10-03/17:13:38;6;102.17;83.48;-1.56;1389;5.02;138.87;-1
2023-10-03/17:13:39;6;102.09;88.55;-1.56;1439;5.02;143.94;-1
2023-10-03/17:13:40;6;101.65;93.28;2.90;1489;5.02;148.97;-1
2023-10-03/17:13:41;6;96.90;94.43;2.90;1538;5.02;153.85;-1
2023-10-03/17:13:42;6;91.99;95.63;2.90;1589;5.02;158.91;-1
2023-10-03/17:13:43;6;88.59;97.84;-1.50;1637;4.08;163.72;-1
2023-10-03/17:13:44;6;88.38;100.71;-1.50;1665;1.52;166.59;-1
2023-10-03/17:13:45;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:13:46;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:13:47;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:13:48;6;88.36;100.97;-1.51;0;0.64;0.08;833
2023-10-03/17:13:49;6;88.49;99.13;-1.50;19;3.10;1.93;738
2023-10-03/17:13:50;6;90.34;96.03;2.90;63;5.02;6.34;738
2023-10-03/17:13:51;6;95.19;94.85;2.90;112;5.02;11.32;738
2023-10-03/17:13:52;6;100.13;93.65;2.90;163;5.02;16.41;738
2023-10-03/17:13:53;6;102.06;90.21;-1.56;212;5.02;21.34;738
2023-10-03/17:13:54;6;102.14;85.09;-1.56;263;5.02;26.46;738
2023-10-03/17:13:55;6;102.22;80.09;-1.56;313;5.02;31.45;738
2023-10-03/17:13:56;6;100.00;76.38;-2.76;363;5.02;36.39;738
2023-10-03/17:13:57;6;96.12;73.83;-1.81;412;5.02;41.41;738
2023-10-03/17:13:58;6;95.87;68.69;-1.60;464;5.02;46.57;738
2023-10-03/17:13:59;6;95.71;63.78;-1.60;514;5.02;51.48;738
2023-10-03/17:14:00;6;95.55;58.66;-1.60;565;5.02;56.60;738
2023-10-03/17:14:01;6;95.39;53.64;-1.60;616;5.02;61.62;738
2023-10-03/17:14:02;6;95.23;48.65;-1.60;666;5.02;66.61;738
2023-10-03/17:14:03;6;95.09;44.09;-1.60;712;3.63;71.18;738
2023-10-03/17:14:04;6;94.93;41.75;-2.59;735;1.11;73.56;738
2023-10-03/17:14:05;6;93.56;40.98;-2.63;751;2.04;75.13;759
2023-10-03/17:14:06;6;92.68;38.87;-1.58;777;3.76;77.75;833
2023-10-03/17:14:07;6;92.66;34.91;-1.58;816;3.06;81.71;833
2023-10-03/17:14:08;6;92.65;33.21;-1.57;835;0.49;83.53;833
2023-10-03/17:14:09;6;92.66;34.31;-1.58;846;2.30;84.63;-1
2023-10-03/17:14:10;6;92.67;37.98;-1.58;882;4.86;88.30;-1
2023-10-03/17:14:11;6;94.83;41.70;-2.63;931;5.01;93.26;-1
2023-10-03/17:14:12;6;95.16;46.54;-1.60;981;5.01;98.21;-1
2023-10-03/17:14:13;6;95.32;51.49;-1.60;1031;5.01;103.17;-1
2023-10-03/17:14:14;6;95.48;56.56;-1.60;1082;5.01;108.24;-1
2023-10-03/17:14:15;6;95.64;61.63;-1.60;1133;5.01;113.31;-1
2023-10-03/17:14:16;6;95.80;66.64;-1.60;1183;5.01;118.33;-1
2023-10-03/17:14:17;6;95.96;71.57;-1.60;1233;5.01;123.26;-1
2023-10-03/17:14:18;6;97.94;75.55;-2.76;1283;5.01;128.32;-1
2023-10-03/17:14:19;6;101.98;77.93;-1.91;1333;5.01;133.28;-1
2023-10-03/17:14:20;6;102.17;82.97;-1.56;1383;5.01;138.36;-1
2023-10-03/17:14:21;6;102.10;87.91;-1.56;1433;5.01;143.31;-1
2023-10-03/17:14:22;6;102.02;92.96;-1.56;1483;5.01;148.35;-1
2023-10-03/17:14:23;6;97.33;94.33;2.90;1534;5.01;153.41;-1
2023-10-03/17:14:24;6;92.51;95.50;2.90;1583;5.01;158.37;-1
2023-10-03/17:14:25;6;88.62;97.39;-1.50;1632;4.32;163.27;-1
2023-10-03/17:14:26;6;88.39;100.48;-1.50;1663;1.79;166.37;-1
2023-10-03/17:14:27;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:14:28;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:14:29;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:14:30;6;88.37;100.84;-1.50;2;1.02;0.21;738
2023-10-03/17:14:31;6;88.54;98.55;-1.50;24;3.54;2.50;738
2023-10-03/17:14:32;6;91.05;95.86;2.90;70;5.03;7.07;738
2023-10-03/17:14:33;6;96.05;94.64;2.90;121;5.03;12.21;759
2023-10-03/17:14:34;6;100.89;93.46;2.90;171;5.03;17.19;833
2023-10-03/17:14:35;6;102.08;89.28;-1.56;222;5.03;22.26;833
2023-10-03/17:14:36;6;102.15;84.26;-1.56;272;5.03;27.29;833
2023-10-03/17:14:37;6;102.23;79.25;-1.56;322;5.03;32.30;833
2023-10-03/17:14:38;6;99.13;76.03;-2.76;372;5.03;37.33;833
2023-10-03/17:14:39;6;96.00;72.89;-1.60;422;5.03;42.36;729
2023-10-03/17:14:40;6;95.84;67.87;-1.60;472;5.03;47.39;729
2023-10-03/17:14:41;6;95.68;62.90;-1.60;522;5.03;52.35;729
2023-10-03/17:14:42;6;95.53;57.95;-1.60;572;5.03;57.31;729
2023-10-03/17:14:43;6;95.36;52.77;-1.60;624;5.03;62.50;736
2023-10-03/17:14:44;6;95.20;47.82;-1.60;674;5.03;67.44;833
2023-10-03/17:14:45;6;95.04;42.70;-1.60;725;5.03;72.56;833
2023-10-03/17:14:46;6;92.68;39.06;-1.58;775;5.03;77.56;833
2023-10-03/17:14:47;6;92.66;34.89;-1.58;816;2.94;81.73;833
2023-10-03/17:14:48;6;92.65;33.22;-1.57;833;0.56;83.40;833
2023-10-03/17:14:49;6;92.65;33.83;-1.58;841;1.85;84.15;-1
2023-10-03/17:14:50;6;92.67;37.02;-1.58;872;4.40;87.34;-1
2023-10-03/17:14:51;6;94.04;41.25;-2.63;922;5.01;92.35;-1
2023-10-03/17:14:52;6;95.14;45.83;-1.60;974;5.01;97.50;-1
2023-10-03/17:14:53;6;95.30;50.73;-1.60;1023;5.01;102.40;-1
2023-10-03/17:14:54;6;95.46;55.76;-1.60;1074;5.01;107.43;-1
2023-10-03/17:14:55;6;95.62;60.72;-1.60;1124;5.01;112.41;-1
2023-10-03/17:14:56;6;95.78;65.76;-1.60;1174;5.01;117.44;-1
2023-10-03/17:14:57;6;95.93;70.74;-1.60;1224;5.01;122.43;-1
2023-10-03/17:14:58;6;97.25;75.26;-2.76;1276;5.01;127.57;-1
2023-10-03/17:14:59;6;101.72;77.18;-1.91;1325;5.01;132.49;-1
2023-10-03/17:15:00;6;102.19;82.17;-1.56;1375;5.01;137.56;-1
2023-10-03/17:15:01;6;102.11;87.20;-1.56;1426;5.01;142.59;-1
2023-10-03/17:15:02;6;102.03;92.20;-1.56;1476;5.01;147.59;-1
2023-10-03/17:15:03;6;98.18;94.12;2.90;1525;5.01;152.54;-1
2023-10-03/17:15:04;6;93.30;95.31;2.90;1575;5.01;157.56;-1
2023-10-03/17:15:05;6;88.67;96.75;-1.50;1626;4.70;162.63;-1
2023-10-03/17:15:06;6;88.41;100.19;-1.50;1660;2.20;166.08;-1
2023-10-03/17:15:07;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:15:08;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:15:09;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
2023-10-03/17:15:10;6;88.35;101.05;-1.57;-1;0.00;0.00;-1
