Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/17:12:18;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:19;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:20;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:21;1;25.01;58.23;1.08;0;0.80;0.13;446
2023-10-03/17:12:22;1;25.00;56.12;1.57;22;3.34;2.23;446
2023-10-03/17:12:23;1;24.99;51.62;1.57;67;5.03;6.74;446
2023-10-03/17:12:24;1;24.98;46.64;1.57;116;5.03;11.72;446
2023-10-03/17:12:25;1;24.96;41.47;1.57;168;5.03;16.88;446
2023-10-03/17:12:26;1;24.95;36.44;1.57;218;5.03;21.91;446
2023-10-03/17:12:27;1;24.94;31.43;1.57;269;5.03;26.93;446
2023-10-03/17:12:28;1;24.92;26.42;1.57;319;5.03;31.94;446
2023-10-03/17:12:29;1;26.32;21.73;2.94;369;5.03;36.96;446
2023-10-03/17:12:30;1;28.27;17.96;-1.51;417;3.87;41.77;446
2023-10-03/17:12:31;1;28.43;15.33;-1.51;443;1.35;44.40;446
2023-10-03/17:12:32;1;28.44;15.26;-1.51;449;0.81;44.90;-1
2023-10-03/17:12:33;1;28.31;17.31;-1.51;468;3.30;46.95;-1
2023-10-03/17:12:34;1;27.22;21.35;2.43;512;5.01;51.41;-1
2023-10-03/17:12:35;1;24.99;25.41;1.88;563;5.01;56.42;-1
2023-10-03/17:12:36;1;24.93;30.39;1.57;613;5.01;61.41;-1
2023-10-03/17:12:37;1;24.95;35.38;1.57;663;5.01;66.39;-1
2023-10-03/17:12:38;1;24.96;40.37;1.57;713;5.01;71.38;-1
2023-10-03/17:12:39;1;24.97;45.46;1.57;764;5.01;76.47;-1
2023-10-03/17:12:40;1;24.99;50.30;1.57;812;5.01;81.31;-1
2023-10-03/17:12:41;1;25.00;55.23;1.57;862;3.99;86.24;-1
2023-10-03/17:12:42;1;25.01;57.94;1.57;889;1.53;88.96;-1
2023-10-03/17:12:43;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:44;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:45;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:46;1;25.01;58.01;1.57;3;1.33;0.35;446
2023-10-03/17:12:47;1;25.00;55.59;1.57;27;3.72;2.76;446
2023-10-03/17:12:48;1;24.99;50.81;1.57;75;5.03;7.55;446
2023-10-03/17:12:49;1;24.97;45.72;1.57;126;5.03;12.64;446
2023-10-03/17:12:50;1;24.96;40.67;1.57;176;5.03;17.69;446
2023-10-03/17:12:51;1;24.95;35.77;1.57;225;5.03;22.59;446
2023-10-03/17:12:52;1;24.93;30.67;1.57;276;5.03;27.69;446
2023-10-03/17:12:53;1;24.95;25.55;1.85;327;5.03;32.81;446
2023-10-03/17:12:54;1;27.11;21.44;2.43;378;5.03;37.82;446
2023-10-03/17:12:55;1;28.30;17.39;-1.51;423;3.54;42.34;446
2023-10-03/17:12:56;1;28.45;15.09;-1.54;445;1.01;44.64;446
2023-10-03/17:12:57;1;28.44;15.21;-1.51;448;-0.03;44.84;446
2023-10-03/17:12:58;1;28.37;16.29;-1.51;459;2.33;45.93;-1
2023-10-03/17:12:59;1;28.16;19.79;-1.51;493;4.79;49.44;-1
2023-10-03/17:13:00;1;25.54;23.67;1.88;545;5.02;54.59;-1
2023-10-03/17:13:01;1;24.93;28.60;1.57;595;5.02;59.62;-1
2023-10-03/17:13:02;1;24.94;33.57;1.57;645;5.02;64.58;-1
2023-10-03/17:13:03;1;24.95;38.43;1.57;693;5.02;69.44;-1
2023-10-03/17:13:04;1;24.97;43.62;1.57;745;5.02;74.63;-1
2023-10-03/17:13:05;1;24.98;48.51;1.57;794;5.02;79.53;-1
2023-10-03/17:13:06;1;24.99;53.60;1.57;845;4.94;84.61;-1
2023-10-03/17:13:07;1;25.00;57.31;1.57;882;2.41;88.33;-1
2023-10-03/17:13:08;1;25.05;58.35;-1.57;893;0.00;89.37;-1
2023-10-03/17:13:09;1;25.05;58.35;-1.57;893;0.00;89.37;-1
2023-10-03/17:13:10;1;25.05;58.35;-1.57;-1;0.00;0.00;-1
