Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/17:12:18;7;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/17:12:19;7;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/17:12:20;7;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/17:12:21;7;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/17:12:22;7;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/17:12:23;7;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/17:12:24;7;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/17:12:25;7;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/17:12:26;7;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/17:12:27;7;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/17:12:28;7;115.35;3.75;3.14;-1;0.00;0.00;-1
2023-10-03/17:12:29;7;115.26;3.76;3.00;0;0.67;0.09;-1
2023-10-03/17:12:30;7;113.34;4.07;2.98;20;3.19;2.04;-1
2023-10-03/17:12:31;7;109.96;6.60;-0.91;64;5.01;6.42;-1
2023-10-03/17:12:32;7;108.62;11.15;-1.56;114;5.01;11.42;-1
2023-10-03/17:12:33;7;108.58;16.15;-1.56;164;5.01;16.42;-1
2023-10-03/17:12:34;7;108.54;21.20;-1.56;214;5.01;21.47;-1
2023-10-03/17:12:35;7;108.50;26.21;-1.56;264;5.01;26.48;-1
2023-10-03/17:12:36;7;108.47;31.18;-1.56;314;5.01;31.46;519
2023-10-03/17:12:37;7;108.43;36.15;-1.56;364;5.01;36.43;519
2023-10-03/17:12:38;7;106.95;40.07;2.99;415;5.01;41.59;523
2023-10-03/17:12:39;7;102.10;40.62;3.13;464;5.01;46.48;637
2023-10-03/17:12:40;7;97.13;40.69;3.10;514;5.01;51.45;641
2023-10-03/17:12:41;7;91.94;40.91;3.10;566;5.01;56.64;744
2023-10-03/17:12:42;7;87.04;40.40;-3.03;615;5.01;61.57;744
2023-10-03/17:12:43;7;82.09;39.47;-2.68;666;5.01;66.66;744
2023-10-03/17:12:44;7;77.70;37.30;-2.68;715;5.01;71.56;744
2023-10-03/17:12:45;7;73.14;35.05;-2.68;766;5.01;76.64;744
