Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/17:12:18;3;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:19;3;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:20;3;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:21;3;67.53;55.35;-1.78;1;0.72;0.10;292
2023-10-03/17:12:22;3;67.32;53.37;-1.65;21;3.24;2.10;292
2023-10-03/17:12:23;3;66.97;48.94;-1.65;65;5.01;6.54;292
2023-10-03/17:12:24;3;67.13;44.01;-1.52;115;5.01;11.48;292
2023-10-03/17:12:25;3;67.65;38.89;2.00;166;5.01;16.64;292
2023-10-03/17:12:26;3;70.45;35.08;2.94;215;5.01;21.66;292
2023-10-03/17:12:27;3;74.67;33.47;-0.96;263;3.88;26.40;292
2023-10-03/17:12:28;3;76.16;31.32;-0.96;288;1.39;29.02;292
2023-10-03/17:12:29;3;76.23;31.22;-0.96;295;0.86;29.55;-1
2023-10-03/17:12:30;3;75.01;32.97;-0.96;315;3.38;31.69;-1
2023-10-03/17:12:31;3;71.26;34.91;2.94;360;5.02;36.21;-1
2023-10-03/17:12:32;3;67.99;38.14;2.00;410;5.02;41.22;-1
2023-10-03/17:12:33;3;67.18;43.03;-1.52;460;5.02;46.23;-1
2023-10-03/17:12:34;3;66.94;48.08;-1.52;510;5.02;51.29;-1
2023-10-03/17:12:35;3;67.27;52.76;-1.65;557;3.72;55.98;-1
2023-10-03/17:12:36;3;67.50;55.21;-1.78;582;1.23;58.44;-1
2023-10-03/17:12:37;3;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:38;3;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:39;3;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:40;3;67.45;54.95;-1.78;5;1.60;0.51;292
2023-10-03/17:12:41;3;67.21;51.96;-1.65;35;4.19;3.51;292
2023-10-03/17:12:42;3;66.99;47.18;-1.52;83;5.01;8.30;292
2023-10-03/17:12:43;3;67.22;42.11;-1.52;134;5.01;13.38;292
2023-10-03/17:12:44;3;68.32;37.41;2.00;182;5.01;18.27;292
2023-10-03/17:12:45;3;72.20;34.71;2.94;233;5.01;23.45;292
2023-10-03/17:12:46;3;75.35;32.50;-0.96;274;3.05;27.58;292
2023-10-03/17:12:47;3;76.32;31.09;-1.07;293;0.53;29.39;292
2023-10-03/17:12:48;3;75.97;31.59;-0.96;299;1.67;30.01;-1
2023-10-03/17:12:49;3;74.28;34.03;-0.96;328;4.20;32.97;-1
2023-10-03/17:12:50;3;69.64;35.28;2.36;377;5.02;37.88;-1
2023-10-03/17:12:51;3;67.42;39.74;1.77;426;5.02;42.92;-1
2023-10-03/17:12:52;3;67.10;44.65;-1.52;476;5.02;47.86;-1
2023-10-03/17:12:53;3;67.03;49.77;-1.65;527;5.02;52.99;-1
2023-10-03/17:12:54;3;67.36;53.88;-1.65;568;2.93;57.10;-1
2023-10-03/17:12:55;3;67.55;55.45;-1.57;585;0.46;58.77;-1
2023-10-03/17:12:56;3;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:57;3;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:58;3;67.55;55.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:59;3;67.53;55.38;-1.74;0;0.62;0.08;231
2023-10-03/17:13:00;3;67.32;53.43;-1.65;20;3.19;2.03;231
2023-10-03/17:13:01;3;66.99;49.23;-1.65;62;5.01;6.25;231
2023-10-03/17:13:02;3;67.13;44.14;-1.52;113;5.01;11.35;231
2023-10-03/17:13:03;3;67.51;39.31;1.77;162;5.01;16.20;231
2023-10-03/17:13:04;3;69.71;35.23;2.51;208;3.46;20.90;231
2023-10-03/17:13:05;3;71.85;34.79;2.94;230;1.02;23.08;231
2023-10-03/17:13:06;3;72.05;34.74;2.94;232;-0.04;23.29;231
2023-10-03/17:13:07;3;72.05;34.74;2.94;232;-0.04;23.29;231
2023-10-03/17:13:08;3;72.77;34.59;2.94;239;1.93;24.03;292
2023-10-03/17:13:09;3;75.08;32.88;-0.96;270;3.52;27.11;292
2023-10-03/17:13:10;3;76.34;31.06;-1.14;293;1.06;29.36;292
2023-10-03/17:13:11;3;76.21;31.25;-0.96;295;-0.03;29.58;292
2023-10-03/17:13:12;3;76.19;31.29;-0.96;295;0.51;29.63;-1
2023-10-03/17:13:13;3;75.19;32.72;-0.96;312;3.00;31.38;-1
2023-10-03/17:13:14;3;71.75;34.80;2.94;355;5.01;35.70;-1
2023-10-03/17:13:15;3;68.24;37.59;2.00;404;5.01;40.61;-1
2023-10-03/17:13:16;3;67.21;42.41;-1.52;453;5.01;45.61;-1
2023-10-03/17:13:17;3;66.97;47.45;-1.52;504;5.01;50.66;-1
2023-10-03/17:13:18;3;67.23;52.27;-1.65;552;4.01;55.49;-1
