Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/17:12:18;2;46.25;49.85;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:19;2;46.25;49.85;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:20;2;46.25;49.85;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:21;2;46.25;49.85;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:22;2;46.25;49.85;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:23;2;46.25;49.85;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:24;2;46.25;49.79;-1.57;0;0.54;0.06;439
2023-10-03/17:12:25;2;46.26;47.90;-1.57;19;3.12;1.95;439
2023-10-03/17:12:26;2;46.27;43.60;-1.57;62;5.04;6.25;439
2023-10-03/17:12:27;2;46.29;38.59;-1.57;112;5.04;11.26;439
2023-10-03/17:12:28;2;46.30;33.57;-1.57;162;5.04;16.28;439
2023-10-03/17:12:29;2;46.32;28.55;-1.57;212;5.04;21.30;439
2023-10-03/17:12:30;2;46.34;23.46;-1.57;263;5.04;26.39;441
2023-10-03/17:12:31;2;42.40;22.09;0.06;314;5.04;31.47;441
2023-10-03/17:12:32;2;37.39;21.78;0.06;364;5.04;36.49;441
2023-10-03/17:12:33;2;32.67;21.49;0.06;411;3.82;41.21;441
2023-10-03/17:12:34;2;30.10;21.33;0.06;437;1.30;43.79;441
2023-10-03/17:12:35;2;29.67;21.30;0.06;442;0.69;44.23;450
2023-10-03/17:12:36;2;28.78;21.18;-1.68;451;0.81;45.19;511
2023-10-03/17:12:37;2;28.67;19.11;-1.62;472;3.32;47.26;511
2023-10-03/17:12:38;2;28.49;15.86;-1.62;504;2.19;50.51;511
2023-10-03/17:12:39;2;28.47;15.33;-1.62;515;0.90;51.61;-1
2023-10-03/17:12:40;2;28.58;17.40;-1.62;536;3.34;53.68;-1
2023-10-03/17:12:41;2;29.42;21.29;0.06;580;5.01;58.18;-1
2023-10-03/17:12:42;2;34.40;21.60;0.06;630;5.01;63.17;-1
2023-10-03/17:12:43;2;39.46;21.91;0.06;681;5.01;68.24;-1
2023-10-03/17:12:44;2;44.51;22.22;0.06;731;5.01;73.29;-1
2023-10-03/17:12:45;2;46.33;25.35;-1.57;780;5.01;78.15;-1
2023-10-03/17:12:46;2;46.31;30.48;-1.57;831;5.01;83.28;-1
2023-10-03/17:12:47;2;46.30;35.38;-1.57;880;5.01;88.18;-1
2023-10-03/17:12:48;2;46.28;40.49;-1.57;931;5.01;93.29;-1
2023-10-03/17:12:49;2;46.26;45.54;-1.57;981;4.70;98.34;-1
2023-10-03/17:12:50;2;46.25;48.99;-1.57;1016;2.19;101.79;-1
2023-10-03/17:12:51;2;46.25;49.85;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:52;2;46.25;49.85;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:53;2;46.25;49.85;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:54;2;46.25;49.85;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:55;2;46.25;49.25;-1.57;6;1.74;0.60;416
2023-10-03/17:12:56;2;46.26;46.33;-1.57;35;4.20;3.52;441
2023-10-03/17:12:57;2;46.28;41.42;-1.57;84;5.01;8.43;441
2023-10-03/17:12:58;2;46.29;36.40;-1.57;134;5.01;13.45;441
2023-10-03/17:12:59;2;46.31;31.46;-1.57;183;5.01;18.39;441
2023-10-03/17:13:00;2;46.33;26.43;-1.57;234;5.01;23.42;441
2023-10-03/17:13:01;2;45.33;22.27;0.06;285;5.01;28.54;450
2023-10-03/17:13:02;2;40.32;21.96;0.06;335;5.01;33.55;450
2023-10-03/17:13:03;2;35.49;21.66;0.06;383;5.01;38.39;450
2023-10-03/17:13:04;2;30.95;21.38;0.06;429;3.22;42.94;450
2023-10-03/17:13:05;2;29.00;21.26;0.06;448;0.79;44.89;450
2023-10-03/17:13:06;2;28.88;21.26;0.06;449;-0.01;45.02;450
2023-10-03/17:13:07;2;28.88;21.26;0.06;449;-0.01;45.02;450
2023-10-03/17:13:08;2;28.75;20.58;-1.62;457;1.96;45.79;511
2023-10-03/17:13:09;2;28.58;17.55;-1.62;487;3.65;48.83;511
2023-10-03/17:13:10;2;28.46;15.15;-1.62;511;1.13;51.23;511
2023-10-03/17:13:11;2;28.46;15.21;-1.62;514;-0.11;51.48;511
2023-10-03/17:13:12;2;28.46;15.24;-1.62;514;0.42;51.52;-1
2023-10-03/17:13:13;2;28.55;16.93;-1.62;531;2.94;53.20;-1
2023-10-03/17:13:14;2;28.77;21.03;-1.62;571;5.00;57.31;-1
2023-10-03/17:13:15;2;33.59;21.55;0.06;622;5.00;62.36;-1
2023-10-03/17:13:16;2;38.60;21.86;0.06;672;5.00;67.37;-1
2023-10-03/17:13:17;2;43.59;22.16;0.06;722;5.00;72.37;-1
2023-10-03/17:13:18;2;46.33;24.50;-1.57;771;5.00;77.30;-1
2023-10-03/17:13:19;2;46.32;29.62;-1.57;822;5.00;82.42;-1
2023-10-03/17:13:20;2;46.30;34.57;-1.57;872;5.00;87.37;-1
2023-10-03/17:13:21;2;46.28;39.63;-1.57;922;5.00;92.44;-1
2023-10-03/17:13:22;2;46.27;44.62;-1.57;972;5.00;97.42;-1
2023-10-03/17:13:23;2;46.25;48.47;-1.57;1011;2.69;101.28;-1
2023-10-03/17:13:24;2;46.25;49.85;-1.57;1025;0.15;102.72;-1
2023-10-03/17:13:25;2;46.25;49.85;-1.57;1025;0.00;102.65;-1
2023-10-03/17:13:26;2;46.25;49.85;-1.57;-1;0.00;0.00;-1
2023-10-03/17:13:27;2;46.25;49.85;-1.57;-1;0.00;0.00;-1
2023-10-03/17:13:28;2;46.25;49.85;-1.57;-1;0.00;0.00;-1
2023-10-03/17:13:29;2;46.25;49.85;-1.57;-1;0.00;0.00;-1
2023-10-03/17:13:30;2;46.25;49.65;-1.57;2;1.01;0.20;450
2023-10-03/17:13:31;2;46.26;47.42;-1.57;24;3.48;2.43;450
