Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/17:12:18;4;81.35;79.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:19;4;81.35;79.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:20;4;81.35;79.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:21;4;81.35;79.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:22;4;81.35;79.45;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:23;4;81.35;79.38;-1.58;0;0.61;0.07;479
2023-10-03/17:12:24;4;81.32;77.57;-1.59;18;3.06;1.88;479
2023-10-03/17:12:25;4;81.24;73.20;-1.59;62;5.04;6.25;479
2023-10-03/17:12:26;4;81.15;68.16;-1.59;112;5.04;11.29;479
2023-10-03/17:12:27;4;81.06;63.14;-1.59;162;5.04;16.32;481
2023-10-03/17:12:28;4;80.97;58.13;-1.59;212;5.04;21.33;481
2023-10-03/17:12:29;4;81.15;53.11;-1.50;262;5.04;26.35;481
2023-10-03/17:12:30;4;81.52;48.04;-1.50;313;5.04;31.44;481
2023-10-03/17:12:31;4;82.04;43.00;-1.30;364;5.04;36.52;485
2023-10-03/17:12:32;4;80.84;39.20;0.53;414;5.04;41.54;541
2023-10-03/17:12:33;4;76.50;36.68;0.53;464;5.04;46.56;541
2023-10-03/17:12:34;4;74.64;33.38;-0.94;512;3.87;51.36;541
2023-10-03/17:12:35;4;76.19;31.27;-0.94;538;1.37;53.98;541
2023-10-03/17:12:36;4;76.25;31.19;-0.94;543;0.62;54.43;-1
2023-10-03/17:12:37;4;75.14;32.69;-0.94;561;3.11;56.29;-1
2023-10-03/17:12:38;4;75.42;36.05;0.53;605;5.04;60.70;-1
2023-10-03/17:12:39;4;79.69;38.54;0.53;655;5.04;65.65;-1
2023-10-03/17:12:40;4;82.41;41.69;-1.30;705;5.04;70.64;-1
2023-10-03/17:12:41;4;81.63;46.58;-1.50;754;5.04;75.61;-1
2023-10-03/17:12:42;4;81.27;51.54;-1.50;804;5.04;80.59;-1
2023-10-03/17:12:43;4;80.94;56.64;-1.59;855;5.04;85.70;-1
2023-10-03/17:12:44;4;81.03;61.73;-1.59;906;5.04;90.79;-1
2023-10-03/17:12:45;4;81.12;66.79;-1.59;956;5.04;95.84;-1
2023-10-03/17:12:46;4;81.21;71.82;-1.59;1006;5.04;100.88;-1
2023-10-03/17:12:47;4;81.30;76.62;-1.59;1054;3.81;105.68;-1
2023-10-03/17:12:48;4;81.34;79.17;-1.59;1080;1.33;108.23;-1
2023-10-03/17:12:49;4;81.35;79.45;-1.57;-1;0.00;0.00;-1
